"","Date_sold","Sell_price_EU","Online_since","Start_price_EU","Likes","Designer","Model","Condition","Material","Color","Location","P_Width_cm","P_Height_cm","P_Depth_cm","SW_Dustbag","SW_Original_box","SW_Original_papers","SW_Card_or_certificate","Seller_name","ST_Expert_seller","ST_Professional_seller","ST_Trusted_seller","ST_Fashion_activist","ST_Concierge_service","Reference","Link"
"36",2020-07-02,100.4,2020-07-02,96.86,17,"Louis Vuitton","Neverfull","Never worn","Cloth","Brown","United States",30.5,27.9,15.2,1,1,0,0,"Princess",0,0,0,0,0,"10933822","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-neverfull-louis-vuitton-handbag-10933822.shtml"
"37",2020-10-01,97.38,2020-09-28,113.76,32,"Louis Vuitton","Houston","Fair condition","Patent leather","Gold","United Kingdom",30,24.9,14,0,0,0,0,"e",0,0,0,0,0,"11976294","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/gold-patent-leather-houston-louis-vuitton-handbag-11976294.shtml"
"38",2020-10-17,99,2020-10-16,99,2,"Louis Vuitton","Unknown Model","Fair condition","Cloth","Brown","France",11,14,3,0,0,0,0,"ks",0,0,0,0,0,"12291679","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-12291679.shtml"
"39",2020-10-16,99,2020-10-15,99,12,"Louis Vuitton","Unknown Model","Fair condition","Cloth","Brown","Italy",11,14,0,0,0,0,0,"Camilla",0,0,0,0,0,"12290279","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-12290279.shtml"
"40",2020-10-25,99,2020-10-14,99,58,"Louis Vuitton","Unknown Model","Fair condition","Cloth","Brown","France",22,15,5,0,0,0,0,"ks",0,0,0,0,0,"12257650","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-12257650.shtml"
"41",2020-10-10,99,2020-10-10,99,1,"Louis Vuitton","Unknown Model","Fair condition","Cloth","Brown","France",11,14,0,0,0,0,0,"ks",0,0,0,0,0,"12184745","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-12184745.shtml"
"42",2020-10-04,99,2020-10-04,99,9,"Louis Vuitton","Unknown Model","Fair condition","Cloth","Brown","France",28,16.5,8,0,0,0,0,"ks",0,0,0,0,0,"12086007","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-12086007.shtml"
"43",2020-08-21,99,2020-08-20,99,11,"Louis Vuitton","Boulogne","Fair condition","Cloth","Brown","France",0,0,0,0,0,0,0,"ks",0,0,0,0,0,"11472419","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-boulogne-louis-vuitton-handbag-11472419.shtml"
"44",2020-07-30,99,2020-07-29,99,2,"Louis Vuitton","Unknown Model","Fair condition","Cloth","Brown","France",41,29,5,0,0,0,0,"ks",0,0,0,0,0,"11241385","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-11241385.shtml"
"45",2020-07-28,99,2020-07-28,99,1,"Louis Vuitton","Unknown Model","Fair condition","Cloth","Brown","France",41,29,5,0,0,0,0,"ks",0,0,0,0,0,"11241092","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-11241092.shtml"
"46",2020-07-26,99,2020-07-24,99,9,"Louis Vuitton","Unknown Model","Good condition","Cloth","Green","France",0,0,0,1,0,0,0,"ks",0,0,0,0,0,"11199481","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/green-cloth-louis-vuitton-handbag-11199481.shtml"
"47",2020-07-02,99,2020-07-01,99,4,"Louis Vuitton","Unknown Model","Good condition","Leather","Brown","France",0,0,0,1,1,0,0,"ks",0,0,0,0,0,"10932095","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-leather-louis-vuitton-handbag-10932095.shtml"
"48",2020-06-18,99,2020-06-18,99,1,"Louis Vuitton","Unknown Model","Good condition","Cotton","Beige","France",0,0,0,0,0,0,0,"the brand collector",0,1,0,0,0,"10778398","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-cotton-louis-vuitton-handbag-10778398.shtml"
"49",2020-09-30,100,2020-09-30,100,23,"Louis Vuitton","Papillon","Fair condition","Cloth","Brown","Portugal",38.1,17.8,15.2,0,0,0,0,"rute",0,0,0,0,0,"12002986","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-papillon-louis-vuitton-handbag-12002986.shtml"
"50",2020-08-23,100,2020-08-18,128,12,"Louis Vuitton","Houston","Fair condition","Patent leather","Red","Netherlands",23,18,11,0,0,0,0,"Basak",0,0,0,0,0,"11445719","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/red-patent-leather-houston-louis-vuitton-handbag-11445719.shtml"
"51",2020-06-25,100,2020-06-25,100,7,"Louis Vuitton","Unknown Model","Fair condition","Leather","Black","Romania",40,40,20,0,0,0,0,"nicoleta",0,0,0,0,0,"10856644","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/black-leather-louis-vuitton-handbag-10856644.shtml"
"52",2020-06-16,100,2020-06-16,100,6,"Louis Vuitton","Speedy","Fair condition","Cloth","Brown","Italy",35,23,20,0,0,0,0,"valentina",0,0,0,0,0,"10732569","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-speedy-louis-vuitton-handbag-10732569.shtml"
"53",2020-06-01,100,2020-05-30,100,16,"Louis Vuitton","Neverfull","Fair condition","Cloth","Brown","Italy",39,32,19,0,0,0,0,"camilla",0,0,0,0,0,"10537579","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-neverfull-louis-vuitton-handbag-10537579.shtml"
"54",2020-06-29,101,2020-06-29,139,12,"Louis Vuitton","No<U+00E9>","Fair condition","Cloth","Brown","France",26,35,18,0,0,0,0,"stephanie",0,0,0,0,0,"10889189","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-noe-louis-vuitton-handbag-10889189.shtml"
"55",2020-09-30,101.15,2020-09-28,125.14,9,"Louis Vuitton","Houston","Fair condition","Patent leather","Green","United Kingdom",24.9,30,14,0,0,0,0,"e",0,0,0,0,0,"11976714","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/green-patent-leather-houston-louis-vuitton-handbag-11976714.shtml"
"56",2020-07-22,101.93,2020-07-22,113.76,3,"Louis Vuitton","Danube","Fair condition","Cloth","Beige","United Kingdom",17.8,38.1,35.6,0,0,0,0,"Rubina",0,0,0,0,0,"11166542","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-cloth-danube-louis-vuitton-handbag-11166542.shtml"
"57",2020-08-20,100.36,2020-07-02,1204.64,2,"Louis Vuitton","Alma","Good condition","Patent leather","Burgundy","United Arab Emirates",38.5,29,19,0,0,0,0,"The Luxury Closet",0,1,0,0,0,"10933570","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/burgundy-patent-leather-alma-louis-vuitton-handbag-10933570.shtml"
"58",2020-08-20,100.36,2020-07-02,1204.64,11,"Louis Vuitton","Alma","Good condition","Patent leather","Burgundy","United Arab Emirates",38.5,29,19,0,0,0,0,"The Luxury Closet",0,1,0,0,0,"10933488","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/burgundy-patent-leather-alma-louis-vuitton-handbag-10933488.shtml"
"59",2020-06-29,105,2020-06-29,150,8,"Louis Vuitton","Unknown Model","Very good condition","Cloth","Brown","France",28.5,22,9,0,0,0,0,"Valentine",0,0,0,0,0,"10891887","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-10891887.shtml"
