"Date_sold","Likes","Designer","Model","Price_sold","Condition","Material","Color","Width","Height","Depth","Location","Seller","Sold_with","Online_since","Reference","Seller_title","Address","Initial_price","Link"
NA,9,"Louis Vuitton ",NA,"55","Fair condition","Cloth ","Brown ","45 cm","32 cm","19 cm","Denmark","Tara","","09/05/2020 ","10275624","",NA,55,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-10275624.shtml"
NA,4,"Louis Vuitton ","Bucket  ","55.74","Very good condition","Leather ","Brown ","27.9 cm","35.6 cm","20.3 cm","United Kingdom","Victoria","","28/10/2020 ","12522863","",NA,55.74,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-leather-bucket-louis-vuitton-handbag-12522863.shtml"
NA,6,"Louis Vuitton ",NA,"59","Fair condition","Plastic ","Blue ",NA,NA,NA,"France","ks","","01/09/2020 ","11608457","",NA,59,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/blue-plastic-louis-vuitton-handbag-11608457.shtml"
NA,20,"Louis Vuitton ","Vivian ","60","Fair condition","Cloth ","Brown ","21 cm","21 cm","9 cm","Italy","Nina","","07/05/2020 ","10252734","",NA,60,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-vivian-louis-vuitton-handbag-10252734.shtml"
NA,11,"Louis Vuitton ","Pleaty ","65","Very good condition","Denim - Jeans ","Blue ","26 cm","15 cm",NA,"Belgium","Cami","","21/09/2020 ","11874147","",NA,65,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/blue-denim-jeans-pleaty-louis-vuitton-handbag-11874147.shtml"
NA,7,"Louis Vuitton ","Looping ","66.09","Fair condition","Cloth ","Brown ","29.3 cm","33 cm","11 cm","Switzerland","eliane","","16/09/2020 ","11825972","",NA,66.09,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-looping-louis-vuitton-handbag-11825972.shtml"
NA,3,"Louis Vuitton ",NA,"69","Fair condition","Patent leather ","Beige ","10.5 cm","17 cm",NA,"France","ks","","18/10/2020 ","12343390","",NA,69,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-patent-leather-louis-vuitton-handbag-12343390.shtml"
NA,8,"Louis Vuitton ","Salsa ","70","Very good condition","Cloth ","Brown ","32 cm","24 cm","3,5 cm","Portugal","maria","","16/09/2020 ","11774202","",NA,70,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-salsa-louis-vuitton-handbag-11774202.shtml"
NA,7,"Louis Vuitton ","Looping ","70","Good condition","Cloth ","Brown ","35 cm","30 cm","4 cm","France","caroline","","07/09/2020 ","11672379","",NA,70,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-looping-louis-vuitton-handbag-11672379.shtml"
NA,34,"Louis Vuitton ","Cartouchière ","80.65","Fair condition","Cloth ","Camel ","18 cm","21 cm","5 cm","France","tom","","18/09/2020 ","11850589","",NA,120,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/camel-cloth-cartouchiere-louis-vuitton-handbag-11850589.shtml"
NA,10,"Louis Vuitton ","Trotteur ","81.91","Fair condition","Cloth ","Brown ","11 cm","8 cm","8 cm","Vestiaire Collective Hong Kong","Amie","","02/11/2020 ","12575415","",NA,81.91,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-trotteur-louis-vuitton-handbag-12575415.shtml"
NA,16,"Louis Vuitton ","Houston ","84.21","Fair condition","Patent leather ","Beige ",NA,NA,NA,"Japan","Brand street tokyo","","02/07/2020 ","10938888","Professional seller",NA,114.48,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-patent-leather-houston-louis-vuitton-handbag-10938888.shtml"
NA,26,"Louis Vuitton ",NA,"85.21","Very good condition","Cloth ","Multicolour ",NA,NA,NA,"Hong Kong","izory","","23/03/2020 ","9761999","",NA,170.42,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/multicolour-cloth-louis-vuitton-handbag-9761999.shtml"
NA,6,"Louis Vuitton ","Reade ","87.18","Fair condition","Patent leather ","Khaki ",NA,NA,NA,"Japan","Brand street tokyo","","07/08/2020 ","11340392","Professional seller",NA,123.28,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/khaki-patent-leather-reade-louis-vuitton-handbag-11340392.shtml"
NA,25,"Louis Vuitton ",NA,"89","Fair condition","Patent leather ","Beige ","10.5 cm","17 cm",NA,"France","ks","","03/09/2020 ","11636162","",NA,89,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-patent-leather-louis-vuitton-handbag-11636162.shtml"
NA,6,"Louis Vuitton ",NA,"89","Fair condition","Cloth ","Brown ","25.5 cm","15.5 cm",NA,"France","ks","","24/07/2020 ","11199736","",NA,89,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-11199736.shtml"
NA,3,"Louis Vuitton ","Sac d'épaule ","90.89","Fair condition","Leather ","Black ","32 cm","28 cm","14 cm","Hong Kong","allu","","22/08/2020 ","11477247","Professional seller",NA,90.89,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/black-leather-sac-depaule-louis-vuitton-handbag-11477247.shtml"
NA,237,"Louis Vuitton ","Houston ","93.61","Fair condition","Patent leather ","Yellow ","63.5 cm","73.7 cm","36.8 cm","Saudi Arabia","aïsha","","08/12/2019 ","8909013","Professional seller",NA,105.67,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/yellow-patent-leather-houston-louis-vuitton-handbag-8909013.shtml"
NA,14,"Louis Vuitton ","Houston ","95","Very good condition","Patent leather ","Gold ",NA,NA,NA,"France","the brand collector","","29/09/2020 ","11779018","Professional seller",NA,95,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/gold-patent-leather-houston-louis-vuitton-handbag-11779018.shtml"
NA,10,"Louis Vuitton ",NA,"95.37","Fair condition","Patent leather ","Beige ","17 cm","19 cm","5.5 cm","United States","heejin","","18/05/2020 ","10394370","",NA,95.37,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-patent-leather-louis-vuitton-handbag-10394370.shtml"
NA,17,"Louis Vuitton ",NA,"95.4","Fair condition","Patent leather ","Beige ","17 cm","19 cm","5.5 cm","Hong Kong","Mo ","","03/05/2020 ","10182602","",NA,113.61,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-patent-leather-louis-vuitton-handbag-10182602.shtml"
NA,17,"Louis Vuitton ","Neverfull ","96.86","Never worn","Cloth ","Brown ","30.5 cm","27.9 cm","15.2 cm","United States","Princess","Dustbag ,Original box","02/07/2020 ","10933822","",NA,96.86,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-neverfull-louis-vuitton-handbag-10933822.shtml"
NA,32,"Louis Vuitton ","Houston ","98.56","Fair condition","Patent leather ","Gold ","30 cm","24.9 cm","14 cm","United Kingdom","e","","28/09/2020 ","11976294","",NA,113.76,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/gold-patent-leather-houston-louis-vuitton-handbag-11976294.shtml"
NA,1,"Louis Vuitton ",NA,"99","Fair condition","Cloth ","Brown ","11 cm","14 cm","3 cm","France","ks","","16/10/2020 ","12291679","",NA,99,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-12291679.shtml"
NA,12,"Louis Vuitton ",NA,"99","Fair condition","Cloth ","Brown ","11 cm","14 cm",NA,"Italy","Camilla","","15/10/2020 ","12290279","",NA,99,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-12290279.shtml"
NA,58,"Louis Vuitton ",NA,"99","Fair condition","Cloth ","Brown ","22 cm","15 cm","5 cm","France","ks","","14/10/2020 ","12257650","",NA,99,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-12257650.shtml"
NA,1,"Louis Vuitton ",NA,"99","Fair condition","Cloth ","Brown ","11 cm","14 cm",NA,"France","ks","","10/10/2020 ","12184745","",NA,99,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-12184745.shtml"
NA,9,"Louis Vuitton ",NA,"99","Fair condition","Cloth ","Brown ","28 cm","16.5 cm","8 cm","France","ks","","04/10/2020 ","12086007","",NA,99,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-12086007.shtml"
NA,11,"Louis Vuitton ","Boulogne ","99","Fair condition","Cloth ","Brown ",NA,NA,NA,"France","ks","","20/08/2020 ","11472419","",NA,99,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-boulogne-louis-vuitton-handbag-11472419.shtml"
NA,2,"Louis Vuitton ",NA,"99","Fair condition","Cloth ","Brown ","41 cm","29 cm","5 cm","France","ks","","29/07/2020 ","11241385","",NA,99,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-11241385.shtml"
NA,1,"Louis Vuitton ",NA,"99","Fair condition","Cloth ","Brown ","41 cm","29 cm","5 cm","France","ks","","28/07/2020 ","11241092","",NA,99,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-11241092.shtml"
NA,9,"Louis Vuitton ",NA,"99","Good condition","Cloth ","Green ",NA,NA,NA,"France","ks","Dustbag","24/07/2020 ","11199481","",NA,99,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/green-cloth-louis-vuitton-handbag-11199481.shtml"
NA,4,"Louis Vuitton ",NA,"99","Good condition","Leather ","Brown ",NA,NA,NA,"France","ks","Dustbag ,Original box","01/07/2020 ","10932095","",NA,99,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-leather-louis-vuitton-handbag-10932095.shtml"
NA,1,"Louis Vuitton ",NA,"99","Good condition","Cotton ","Beige ",NA,NA,NA,"France","the brand collector","","18/06/2020 ","10778398","Professional seller",NA,99,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-cotton-louis-vuitton-handbag-10778398.shtml"
NA,22,"Louis Vuitton ","Papillon ","100","Fair condition","Cloth ","Brown ","38.1 cm","17.8 cm","15.2 cm","Portugal","rute","","30/09/2020 ","12002986","",NA,100,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-papillon-louis-vuitton-handbag-12002986.shtml"
NA,12,"Louis Vuitton ","Houston ","100","Fair condition","Patent leather ","Red ","23 cm","18 cm","11 cm","Netherlands","Basak","","18/08/2020 ","11445719","",NA,128,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/red-patent-leather-houston-louis-vuitton-handbag-11445719.shtml"
NA,7,"Louis Vuitton ",NA,"100","Fair condition","Leather ","Black ","40 cm","40 cm","20 cm","Romania","nicoleta","","25/06/2020 ","10856644","",NA,100,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/black-leather-louis-vuitton-handbag-10856644.shtml"
NA,6,"Louis Vuitton ","Speedy ","100","Fair condition","Cloth ","Brown ","35 cm","23 cm","20 cm","Italy","valentina","","16/06/2020 ","10732569","",NA,100,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-speedy-louis-vuitton-handbag-10732569.shtml"
NA,15,"Louis Vuitton ","Neverfull ","100","Fair condition","Cloth ","Brown ","39 cm","32 cm","19 cm","Italy","camilla ","","30/05/2020 ","10537579","",NA,100,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-neverfull-louis-vuitton-handbag-10537579.shtml"
NA,12,"Louis Vuitton ","Noé ","101","Fair condition","Cloth ","Brown ","26 cm","35 cm","18 cm","France","stephanie","","29/06/2020 ","10889189","",NA,139,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-noe-louis-vuitton-handbag-10889189.shtml"
NA,9,"Louis Vuitton ","Houston ","102.39","Fair condition","Patent leather ","Green ","24.9 cm","30 cm","14 cm","United Kingdom","e","","28/09/2020 ","11976714","",NA,125.14,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/green-patent-leather-houston-louis-vuitton-handbag-11976714.shtml"
NA,2,"Louis Vuitton ","Danube ","102.39","Fair condition","Cloth ","Beige ","17.8 cm","38.1 cm","35.6 cm","United Kingdom","Rubina ","","22/07/2020 ","11166542","",NA,113.76,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-cloth-danube-louis-vuitton-handbag-11166542.shtml"
NA,2,"Louis Vuitton ","Alma ","103.03","Good condition","Patent leather ","Burgundy ","38.5 cm","29 cm","19 cm","United Arab Emirates","The Luxury Closet","","02/07/2020 ","10933570","Professional seller",NA,1204.64,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/burgundy-patent-leather-alma-louis-vuitton-handbag-10933570.shtml"
NA,11,"Louis Vuitton ","Alma ","103.03","Good condition","Patent leather ","Burgundy ","38.5 cm","29 cm","19 cm","United Arab Emirates","The Luxury Closet","","02/07/2020 ","10933488","Professional seller",NA,1204.64,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/burgundy-patent-leather-alma-louis-vuitton-handbag-10933488.shtml"
NA,7,"Louis Vuitton ",NA,"105","Very good condition","Cloth ","Brown ","28,5 cm","22 cm","9 cm","France","Valentine","","29/06/2020 ","10891887","",NA,150,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-10891887.shtml"
NA,9,"Louis Vuitton ",NA,"105","Good condition","Synthetic ","White ","24 cm","32 cm","6 cm","Spain","Mona","","03/06/2020 ","10576427","",NA,150,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/white-synthetic-louis-vuitton-handbag-10576427.shtml"
NA,87,"Louis Vuitton ","Papillon ","105.67","Fair condition","Patent leather ","Yellow ",NA,NA,NA,"Japan","luxe brand cerisier","","05/03/2020 ","9630886","Professional seller",NA,132.09,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/yellow-patent-leather-papillon-louis-vuitton-handbag-9630886.shtml"
NA,2,"Louis Vuitton ","Alma ","107.43","Good condition","Leather ","Brown ","31 cm","23.5 cm","15 cm","United Arab Emirates","The Luxury Closet","","16/01/2020 ","9196366","Professional seller",NA,1258.35,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-leather-alma-louis-vuitton-handbag-9196366.shtml"
NA,28,"Louis Vuitton ","Noé ","110","Fair condition","Cloth ","Brown ","26 cm","35 cm","17 cm","Germany","lara","","20/10/2020 ","12358859","",NA,130,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-noe-louis-vuitton-handbag-12358859.shtml"
NA,13,"Louis Vuitton ","Antigua ","110","Very good condition","Cloth ","Ecru ","20 cm","15 cm","2.5 cm","Greece","VASILIKI","Dustbag ,Original box","24/07/2020 ","11195785","",NA,130,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/ecru-cloth-antigua-louis-vuitton-handbag-11195785.shtml"
NA,295,"Louis Vuitton ","Noé ","110","Fair condition","Cloth ","Brown ","101.6 cm","127 cm","76.2 cm","Hungary","alba","","29/06/2020 ","10896174","",NA,130,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-noe-louis-vuitton-handbag-10896174.shtml"
NA,2,"Louis Vuitton ","Lockit Vertical ","110","Fair condition","Cloth ","Multicolour ","22 cm","28 cm","11 cm","Italy","Alice","","21/05/2020 ","10412675","",NA,120,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/multicolour-cloth-lockit-vertical-louis-vuitton-handbag-10412675.shtml"
NA,8,"Louis Vuitton ",NA,"110","Good condition","Patent leather ","Other ","20 cm","12,5 cm","3,5 cm","Austria","Renee","","08/05/2020 ","10258089","",NA,110,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/patent-leather-louis-vuitton-handbag-10258089.shtml"
NA,20,"Louis Vuitton ","Bellevue ","111.34","Fair condition","Patent leather ","Burgundy ","45 cm","27 cm","18 cm","Hong Kong","kate","","29/06/2020 ","10904924","",NA,198.82,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/burgundy-patent-leather-bellevue-louis-vuitton-handbag-10904924.shtml"
NA,28,"Louis Vuitton ","Saint Cloud vintage ","111.45","Good condition","Leather ","Blue ","19 cm","16 cm","5 cm","Hong Kong","Murmur","","15/08/2020 ","11409682","",NA,193.03,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/blue-leather-saint-cloud-vintage-louis-vuitton-handbag-11409682.shtml"
NA,7,"Louis Vuitton ","Nile ","113.61","Good condition","Cloth ","Brown ","27 cm","20 cm","11 cm","Hong Kong","allu","","22/08/2020 ","11475736","Professional seller",NA,113.61,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-nile-louis-vuitton-handbag-11475736.shtml"
NA,26,"Louis Vuitton ","Tivoli ","113.61","Fair condition","Cloth ","Brown ","40 cm","26 cm","15 cm","Hong Kong","Rebecca","","03/06/2020 ","10573608","",NA,113.61,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-tivoli-louis-vuitton-handbag-10573608.shtml"
NA,19,"Louis Vuitton ","Reade ","113.91","Fair condition","Patent leather ","Beige ",NA,NA,NA,"Japan","Brand street tokyo","","07/08/2020 ","11341080","Professional seller",NA,158.51,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-patent-leather-reade-louis-vuitton-handbag-11341080.shtml"
NA,39,"Louis Vuitton ",NA,"114.48","Fair condition","Patent leather ","Camel ",NA,NA,NA,"Japan","luxe brand cerisier","","21/05/2020 ","10438663","Professional seller",NA,140.89,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/camel-patent-leather-louis-vuitton-handbag-10438663.shtml"
NA,8,"Louis Vuitton ","Noé ","114.95","Fair condition","Cloth ","Beige ","25 cm","27 cm","20 cm","Switzerland","Sarah","","27/05/2020 ","10481704","",NA,114.95,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-cloth-noe-louis-vuitton-handbag-10481704.shtml"
NA,2,"Louis Vuitton ","Houston ","115","Very good condition","Patent leather ","Beige ","30 cm","25 cm","13 cm","Italy","francesksca","","07/10/2020 ","12110341","",NA,115,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-patent-leather-houston-louis-vuitton-handbag-12110341.shtml"
NA,1,"Louis Vuitton ",NA,"115","Good condition","Cotton ","Brown ",NA,NA,NA,"France","the brand collector","","18/06/2020 ","10777611","Professional seller",NA,115,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cotton-louis-vuitton-handbag-10777611.shtml"
NA,70,"Louis Vuitton ",NA,"115","Fair condition","Patent leather ","Other ","32 cm","25 cm","15 cm","France","rahma","","15/03/2020 ","9724866","",NA,280,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/patent-leather-louis-vuitton-handbag-9724866.shtml"
NA,1,"Louis Vuitton ","Houston ","117","Fair condition","Patent leather ","Yellow ","35 cm","30 cm","9 cm","Italy","carola","","09/10/2020 ","12143918","",NA,117,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/yellow-patent-leather-houston-louis-vuitton-handbag-12143918.shtml"
NA,5,"Louis Vuitton ","Josephine  ","118","Fair condition","Cloth ","Grey ","15 cm","19 cm","29 cm","France","frederic","","24/07/2020 ","11195191","",NA,118,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/grey-cloth-josephine-louis-vuitton-handbag-11195191.shtml"
NA,3,"Louis Vuitton ",NA,"119","Fair condition","Leather ","Black ","25 cm","15 cm",NA,"France","ks","","31/10/2020 ","12572121","",NA,119,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/black-leather-louis-vuitton-handbag-12572121.shtml"
NA,56,"Louis Vuitton ",NA,"119","Very good condition","Leather ","Beige ","4 cm","7,5 cm",NA,"France","c.luxe","","30/10/2015 ","2014911","",NA,169,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-leather-address-tag-louis-vuitton-2014911.shtml"
NA,3,"Louis Vuitton ",NA,"119","Fair condition","Cloth ","Brown ","27 cm","16.5 cm","6 cm","France","ks","","13/10/2020 ","12257722","",NA,119,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-12257722.shtml"
NA,54,"Louis Vuitton ",NA,"119","Fair condition","Cloth ","Brown ","15 cm","25 cm","4 cm","France","ks","","29/09/2020 ","12020991","",NA,119,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-12020991.shtml"
NA,3,"Louis Vuitton ","Salsa ","119","Good condition","Cloth ","Burgundy ","26 cm","36 cm","2 cm","Netherlands","alexander","","29/09/2020 ","11979001","",NA,119,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/burgundy-cloth-salsa-louis-vuitton-handbag-11979001.shtml"
NA,9,"Louis Vuitton ",NA,"119","Fair condition","Patent leather ","Other ","16 cm","18.5 cm","3.5 cm","France","ks","","01/09/2020 ","11621000","",NA,119,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/patent-leather-louis-vuitton-handbag-11621000.shtml"
NA,4,"Louis Vuitton ","Saint Cloud vintage ","119","Fair condition","Leather ","Yellow ","16.5 cm","16.5 cm",NA,"France","ks","","31/08/2020 ","11592972","",NA,119,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/yellow-leather-saint-cloud-vintage-louis-vuitton-handbag-11592972.shtml"
NA,5,"Louis Vuitton ",NA,"119","Fair condition","Cloth ","Brown ","40 cm","30 cm","5.5 cm","France","ks","","04/08/2020 ","11308712","",NA,119,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-11308712.shtml"
NA,4,"Louis Vuitton ",NA,"119","Fair condition","Cloth ","Brown ","25 cm","14.5 cm","4 cm","France","ks","","30/07/2020 ","11261922","",NA,119,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-11261922.shtml"
NA,8,"Louis Vuitton ",NA,"119","Fair condition","Cloth ","Brown ","25 cm","14 cm","4 cm","France","ks","","22/07/2020 ","11176231","",NA,119,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-11176231.shtml"
NA,9,"Louis Vuitton ","Speedy ","120","Very good condition","Cloth ","Brown ","18 cm","35 cm","23 cm","Belgium","gennady ","","23/10/2020 ","12414734","",NA,120,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-speedy-louis-vuitton-handbag-12414734.shtml"
NA,6,"Louis Vuitton ",NA,"120","Good condition","Leather ","Beige ",NA,NA,NA,"Italy","Osvi","","29/09/2020 ","12009333","",NA,150,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-leather-louis-vuitton-handbag-12009333.shtml"
