"Date_sold","Likes","Designer","Model","Price_sold","Condition","Material","Color","Width","Height","Depth","Location","Seller","Sold_with","Online_since","Reference","Seller_title","Address","Initial_price","Link","Current_price"
NA,0,"Louis Vuitton ","Noé ","240","Fair condition","Leather ","Black ","35 cm","26 cm","23 cm","France","marie","","29/10/2020 ","12522129","",NA,240,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/black-leather-noe-louis-vuitton-handbag-12522129.shtml",240
NA,14,"Louis Vuitton ","Speedy ","240","Fair condition","Cloth ","Brown ","30 cm","25 cm","19 cm","Spain","kristina  ","","19/10/2020 ","12360370","",NA,240,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-speedy-louis-vuitton-handbag-12360370.shtml",240
NA,7,"Louis Vuitton ","Thompson ","240","Very good condition","Patent leather ","Brown ","27 cm","20 cm","6 cm","Italy","camilla","","11/10/2020 ","12179310","",NA,350,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-patent-leather-thompson-louis-vuitton-handbag-12179310.shtml",240
NA,10,"Louis Vuitton ",NA,"240","Good condition","Cloth ","Brown ","35 cm","32.5 cm","15.5 cm","France","Vestiaire Collective","","30/09/2020 ","12023504","Professional seller",NA,240,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-12023504.shtml",240
NA,26,"Louis Vuitton ","Bucket  ","240","Fair condition","Cloth ","Brown ","27 cm","10,6 cm","23,6 cm","France","shiela  ","","21/09/2020 ","11886471","",NA,300,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-bucket-louis-vuitton-handbag-11886471.shtml",240
NA,19,"Louis Vuitton ","Cartouchière ","240","Fair condition","Cloth ","Brown ","21 cm","21 cm","7 cm","France","tom","","07/09/2020 ","11685404","",NA,280,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-cartouchiere-louis-vuitton-handbag-11685404.shtml",240
NA,44,"Louis Vuitton ","Spring street ","240","Good condition","Patent leather ","Pink ","18 cm","19 cm","6 cm","Spain","carmen","","01/09/2020 ","11595715","",NA,390,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/pink-patent-leather-spring-street-louis-vuitton-handbag-11595715.shtml",240
NA,10,"Louis Vuitton ",NA,"240","Very good condition","Patent leather ","Other ","30 cm","18 cm","10 cm","Italy","cri","","31/08/2020 ","11591303","",NA,330,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/patent-leather-louis-vuitton-handbag-11591303.shtml",240
NA,6,"Louis Vuitton ","Danube ","240","Good condition","Cloth ","Brown ","29 cm","31 cm","11 cm","France","Talia","","20/08/2020 ","11464348","",NA,240,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-danube-louis-vuitton-handbag-11464348.shtml",240
NA,41,"Louis Vuitton ","Riviera  ","240","Good condition","Leather ","Blue ","33 cm","28 cm","16 cm","France","Vestiaire Collective","","24/07/2020 ","11191518","Professional seller",NA,240,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/blue-leather-riviera-louis-vuitton-handbag-11191518.shtml",240
NA,5,"Louis Vuitton ",NA,"240","Fair condition","Cloth ","Brown ","22 cm","20 cm","4 cm","France","Maryse","","18/06/2020 ","10777038","",NA,300,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-10777038.shtml",240
NA,32,"Louis Vuitton ","Speedy ","240","Good condition","Cloth ","Brown ","30 cm","24 cm","16 cm","Italy","emanuela","","17/05/2020 ","10365580","",NA,260,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-speedy-louis-vuitton-handbag-10365580.shtml",240
NA,20,"Louis Vuitton ","Turenne ","240","Good condition","Leather ","Black ","35 cm","18 cm","12 cm","Italy","lisa   ","","13/05/2020 ","10323111","",NA,420,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/black-leather-turenne-louis-vuitton-handbag-10323111.shtml",240
NA,46,"Louis Vuitton ","Cartouchière ","240","Fair condition","Cloth ","Brown ","22 cm","19 cm","8 cm","France","julian","","06/05/2020 ","10223869","",NA,250,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-cartouchiere-louis-vuitton-handbag-10223869.shtml",240
NA,5,"Louis Vuitton ",NA,"240","Good condition","Leather ","Orange ","40 cm","30 cm","18 cm","France","Alex ","","20/04/2020 ","10013626","",NA,380,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/orange-leather-louis-vuitton-handbag-10013626.shtml",240
NA,41,"Louis Vuitton ","Noé ","240","Fair condition","Leather ","Blue ","34 cm","26 cm","18 cm","Switzerland","Fancy Lux","","17/03/2020 ","9739094","Professional seller",NA,300,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/blue-leather-noe-louis-vuitton-handbag-9739094.shtml",240
NA,31,"Louis Vuitton ","Speedy ","240","Fair condition","Cloth ","Brown ","35 cm","22 cm","20 cm","United Kingdom","M","","05/02/2020 ","9368077","",NA,245,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-speedy-louis-vuitton-handbag-9368077.shtml",240
NA,6,"Louis Vuitton ",NA,"240","Good condition","Synthetic ","Black ","32 cm","37 cm","16 cm","Greece","Athens","Dustbag","07/01/2020 ","9111659","",NA,400,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/black-synthetic-louis-vuitton-handbag-9111659.shtml",240
NA,8,"Louis Vuitton ",NA,"240","Good condition","Cloth ","Brown ","35 cm","32.5 cm","15.5 cm","France","Vestiaire Collective","","02/07/2019 ","7812378","Professional seller",NA,600,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-7812378.shtml",240
NA,94,"Louis Vuitton ","Nile ","240","Fair condition","Cloth ","Multicolour ","26 cm","18 cm","12 cm","Italy","greta","","28/05/2019 ","7595136","",NA,265,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/multicolour-cloth-nile-louis-vuitton-handbag-7595136.shtml",240
NA,131,"Louis Vuitton ","Reporter ","240","Fair condition","Cloth ","Brown ","20 cm","60 cm","60 cm","France","vince","","14/04/2019 ","7314271","",NA,260,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-reporter-louis-vuitton-handbag-7314271.shtml",240
NA,68,"Louis Vuitton ",NA,"240","Fair condition","Cloth ","Other ","37 cm","26 cm","19 cm","France","Béatrice","","29/03/2019 ","7150868","",NA,300,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/cloth-louis-vuitton-handbag-7150868.shtml",240
NA,58,"Louis Vuitton ",NA,"240","Good condition","Cloth ","Other ","23 cm","19 cm","7 cm","Spain","kewaybags","","02/08/2018 ","5865631","Professional seller",NA,300,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/cloth-louis-vuitton-handbag-5865631.shtml",240
NA,8,"Louis Vuitton ","Batignolles ","240.09","Good condition","Cloth ","Brown ","40 cm","30 cm",NA,"France","sophie","","27/10/2020 ","12475937","",NA,290,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-batignolles-louis-vuitton-handbag-12475937.shtml",240.09
NA,57,"Louis Vuitton ","Noé ","240.57","Good condition","Leather ","Blue ","27 cm","26.5 cm",NA,"Turkey","nur","","29/01/2018 ","5155576","",NA,600,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/blue-leather-noe-louis-vuitton-handbag-5155576.shtml",240.57
NA,41,"Louis Vuitton ",NA,"241.47","Good condition","Patent leather ","Ecru ","22.4 cm","18 cm","10.4 cm","United Kingdom","Helen","","01/09/2020 ","11614427","",NA,321.95,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/ecru-patent-leather-louis-vuitton-handbag-11614427.shtml",241.47
NA,18,"Louis Vuitton ","Speedy ","242","Good condition","Cotton ","Brown ","30 cm","23 cm","18 cm","Portugal","alexa","","04/04/2020 ","9858662","",NA,395,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cotton-speedy-louis-vuitton-handbag-9858662.shtml",242
NA,8,"Louis Vuitton ","Marly vintage ","242.16","Fair condition","Cloth ","Brown ","21.6 cm","11.4 cm","5.1 cm","Vestiaire Collective New York","Heather","Dustbag","25/10/2020 ","12453067","",NA,242.16,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-marly-vintage-louis-vuitton-handbag-12453067.shtml",242.16
NA,6,"Louis Vuitton ",NA,"242.16","Fair condition","Leather ","Blue ",NA,NA,NA,"Japan","Brand street tokyo","","31/07/2020 ","11271058","Professional seller",NA,317.01,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/blue-leather-louis-vuitton-handbag-11271058.shtml",242.16
NA,9,"Louis Vuitton ","Reade ","242.16","Good condition","Patent leather ","Burgundy ","23 cm","18 cm","8.6 cm","United States","Margie","","28/05/2020 ","10513279","",NA,351.35,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/burgundy-patent-leather-reade-louis-vuitton-handbag-10513279.shtml",242.16
NA,16,"Louis Vuitton ","Looping ","242.26","Fair condition","Cloth ","Brown ","24 cm","22 cm","10 cm","Sweden","issaree","","30/09/2020 ","11992456","",NA,242.26,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-looping-louis-vuitton-handbag-11992456.shtml",242.26
NA,11,"Louis Vuitton ","Papillon ","242.84","Fair condition","Cloth ","Brown ","30 cm","15 cm","15 cm","Italy","flordeliza ","","22/07/2020 ","11164432","",NA,270,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-papillon-louis-vuitton-handbag-11164432.shtml",242.84
NA,32,"Louis Vuitton ","Danube ","243.04","Fair condition","Cloth ","Brown ",NA,NA,NA,"Japan","life time","","06/05/2020 ","10246373","Professional seller",NA,258.89,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-danube-louis-vuitton-handbag-10246373.shtml",243.04
NA,28,"Louis Vuitton ",NA,"243.21","Fair condition","Cloth ","Anthracite ","50 cm","30 cm","15 cm","Australia","sandy","","11/10/2020 ","12186715","",NA,310.61,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/anthracite-cloth-louis-vuitton-handbag-12186715.shtml",243.21
NA,27,"Louis Vuitton ","Parioli ","243.63","Fair condition","Cloth ","Brown ","26 cm","26 cm","38 cm","Greece","vas","","11/08/2020 ","11371954","",NA,600,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-parioli-louis-vuitton-handbag-11371954.shtml",243.63
NA,36,"Louis Vuitton ","Speedy ","243.92","Fair condition","Cloth ","Brown ",NA,NA,NA,"Japan","luxe brand cerisier","","11/09/2019 ","8200163","Professional seller",NA,243.92,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-speedy-louis-vuitton-handbag-8200163.shtml",243.92
NA,14,"Louis Vuitton ","Trouville ","244.26","Good condition","Cloth ","Brown ","28 cm","21 cm","11 cm","Hong Kong","ella","Dustbag","29/03/2020 ","9814744","",NA,386.28,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-trouville-louis-vuitton-handbag-9814744.shtml",244.26
NA,29,"Louis Vuitton ",NA,"244.59","Very good condition","Patent leather ","Brown ","28 cm","22 cm",NA,"Portugal","rosa  ","","25/07/2020 ","11192756","",NA,284.41,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-patent-leather-louis-vuitton-handbag-11192756.shtml",244.59
NA,62,"Louis Vuitton ","Papillon ","244.8","Good condition","Patent leather ","Yellow ",NA,NA,NA,"United States","Cashinmybag","","17/01/2020 ","9197958","Professional seller",NA,306.44,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/yellow-patent-leather-papillon-louis-vuitton-handbag-9197958.shtml",244.8
NA,11,"Louis Vuitton ","Reade ","245","Very good condition","Patent leather ","Red ","22 cm","18 cm","10 cm","Romania","nicole","","27/10/2020 ","12472624","",NA,265,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/red-patent-leather-reade-louis-vuitton-handbag-12472624.shtml",245
NA,21,"Louis Vuitton ","Boulogne ","245","Good condition","Cloth ","Brown ","30 cm","20 cm","8 cm","Vestiaire Collective Paris","arianna","","26/10/2020 ","12476964","",NA,307,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-boulogne-louis-vuitton-handbag-12476964.shtml",245
NA,15,"Louis Vuitton ","Saint Cloud vintage ","245","Good condition","Leather ","Red ","25 cm","23 cm","6 cm","Poland","bohdan","","11/09/2020 ","11742828","Professional seller",NA,245,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/red-leather-saint-cloud-vintage-louis-vuitton-handbag-11742828.shtml",245
NA,15,"Louis Vuitton ",NA,"245","Fair condition","Cloth ","Brown ","44 cm","31 cm",NA,"Vestiaire Collective Paris","Sarah","","04/09/2020 ","11587702","",NA,300,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-11587702.shtml",245
NA,36,"Louis Vuitton ","Reade ","245","Good condition","Patent leather ","Orange ","23 cm","18,3 cm","10 cm","Germany","Britta","","29/06/2020 ","10897569","",NA,335,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/orange-patent-leather-reade-louis-vuitton-handbag-10897569.shtml",245
NA,8,"Louis Vuitton ",NA,"245","Fair condition","Cloth ","Brown ",NA,NA,NA,"Italy","antonella","","20/06/2020 ","10797555","",NA,360,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-10797555.shtml",245
NA,32,"Louis Vuitton ","Speedy ","245","Fair condition","Cloth ","Ecru ",NA,NA,NA,"Germany","boutiquebonar","","13/06/2020 ","10701801","Professional seller",NA,275,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/ecru-cloth-speedy-louis-vuitton-handbag-10701801.shtml",245
NA,25,"Louis Vuitton ",NA,"245","Good condition","Cloth ","Brown ","37 cm","27 cm","6 cm","France","Vestiaire Collective","Dustbag","08/06/2020 ","10638756","Professional seller",NA,280,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-10638756.shtml",245
NA,20,"Louis Vuitton ","Speedy ","245","Good condition","Cloth ","Brown ","30 cm","20 cm","18 cm","Portugal","olga","","03/06/2020 ","10577160","",NA,295,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-speedy-louis-vuitton-handbag-10577160.shtml",245
NA,7,"Louis Vuitton ",NA,"245","Good condition","Patent leather ","Ecru ","24 cm","12 cm","1 cm","Spain","raquel","","01/06/2020 ","10544580","",NA,350,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/ecru-patent-leather-louis-vuitton-handbag-10544580.shtml",245
NA,46,"Louis Vuitton ","Boulogne ","245","Fair condition","Cloth ","Other ","28 cm","18 cm","8 cm","Greece","diana","","12/05/2020 ","10316752","",NA,250,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/cloth-boulogne-louis-vuitton-handbag-10316752.shtml",245
NA,13,"Louis Vuitton ","Webster Street ","245","Very good condition","Patent leather ","Gold ","24 cm","21 cm","5 cm","Greece","Julie","","05/05/2020 ","10216095","",NA,350,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/gold-patent-leather-webster-street-louis-vuitton-handbag-10216095.shtml",245
NA,110,"Louis Vuitton ","Noé ","245","Good condition","Cloth ","Brown ","23 cm","25 cm","18 cm","Germany","lisa","","29/04/2020 ","10148016","",NA,370,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-noe-louis-vuitton-handbag-10148016.shtml",245
NA,80,"Louis Vuitton ",NA,"245","Very good condition","Leather ","Yellow ","27 cm","30 cm","11 cm","France","hélène","Dustbag","23/10/2017 ","4681680","",NA,580,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/yellow-leather-louis-vuitton-handbag-4681680.shtml",245
NA,80,"Louis Vuitton ",NA,"245.12","Good condition","Cloth ","Brown ",NA,NA,NA,"Singapore","RALYN","","12/06/2020 ","10689887","",NA,245.12,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-10689887.shtml",245.12
NA,7,"Louis Vuitton ",NA,"245.45","Fair condition","Cloth ","Brown ","22 cm","22 cm","12 cm","United Kingdom","jo","","15/06/2020 ","10715885","",NA,284.41,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-10715885.shtml",245.45
NA,12,"Louis Vuitton ","Nano Speedy / Mini HL ","245.68","Fair condition","Cloth ","Brown ",NA,NA,NA,"United States","sorya","","16/05/2020 ","10367367","Professional seller",NA,245.68,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-nano-speedy-mini-hl-louis-vuitton-handbag-10367367.shtml",245.68
NA,12,"Louis Vuitton ","Deauville ","246","Good condition","Cloth ","Brown ",NA,NA,NA,"Vestiaire Collective Paris","melanie","","14/05/2020 ","10344982","",NA,400,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-deauville-louis-vuitton-handbag-10344982.shtml",246
NA,89,"Louis Vuitton ",NA,"246.56","Good condition","Cloth ","Brown ","24.5 cm","17.5 cm","5 cm","Canada","winnie","","27/10/2020 ","12472166","",NA,264.18,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-12472166.shtml",246.56
NA,11,"Louis Vuitton ","Danube ","246.56","Fair condition","Cloth ","Brown ",NA,NA,NA,"Japan","Brand street tokyo","","04/09/2020 ","11661379","Professional seller",NA,246.56,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-danube-louis-vuitton-handbag-11661379.shtml",246.56
NA,24,"Louis Vuitton ",NA,"246.56","Fair condition","Denim - Jeans ","Blue ",NA,NA,NA,"Japan","luxe brand cerisier","","01/08/2020 ","11273883","Professional seller",NA,246.56,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/blue-denim-jeans-louis-vuitton-handbag-11273883.shtml",246.56
NA,12,"Louis Vuitton ","Saumur ","246.56","Fair condition","Cloth ","Brown ",NA,NA,NA,"Japan","luxe brand cerisier","","31/07/2020 ","11272567","Professional seller",NA,246.56,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-saumur-louis-vuitton-handbag-11272567.shtml",246.56
NA,26,"Louis Vuitton ","Sac d'épaule ","246.56","Fair condition","Leather ","Black ",NA,NA,NA,"Japan","Brand street tokyo","","24/07/2020 ","11196732","Professional seller",NA,246.56,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/black-leather-sac-depaule-louis-vuitton-handbag-11196732.shtml",246.56
NA,14,"Louis Vuitton ","Nile ","246.56","Fair condition","Cloth ","Brown ",NA,NA,NA,"Japan","luxe brand cerisier","","22/07/2020 ","11164996","Professional seller",NA,299.4,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-nile-louis-vuitton-handbag-11164996.shtml",246.56
NA,8,"Louis Vuitton ","Senlis  ","246.56","Fair condition","Cloth ","Brown ",NA,NA,NA,"Japan","luxe brand cerisier","","14/06/2020 ","10713743","Professional seller",NA,246.56,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-senlis-louis-vuitton-handbag-10713743.shtml",246.56
NA,32,"Louis Vuitton ","Bucket  ","246.56","Good condition","Cloth ","Brown ","23.5 cm","26 cm","16.5 cm","Malaysia","Takiwatanga","","04/06/2020 ","10587301","",NA,316.13,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-bucket-louis-vuitton-handbag-10587301.shtml",246.56
NA,15,"Louis Vuitton ",NA,"246.56","Very good condition","Cloth ","Green ","27 cm","20 cm","15 cm","Hong Kong","rita ","","26/05/2020 ","10452599","",NA,457.9,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/green-cloth-louis-vuitton-handbag-10452599.shtml",246.56
NA,27,"Louis Vuitton ",NA,"246.56","Fair condition","Cloth ","Brown ",NA,NA,NA,"Japan","luxe brand cerisier","","22/05/2020 ","10440002","Professional seller",NA,246.56,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-10440002.shtml",246.56
NA,9,"Louis Vuitton ",NA,"246.56","Fair condition","Cloth ","Brown ",NA,NA,NA,"Japan","luxe brand cerisier","","21/05/2020 ","10438826","Professional seller",NA,246.56,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-10438826.shtml",246.56
NA,6,"Louis Vuitton ",NA,"246.56","Fair condition","Cloth ","Brown ",NA,NA,NA,"Japan","luxe brand cerisier","","21/05/2020 ","10436092","Professional seller",NA,246.56,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-10436092.shtml",246.56
NA,19,"Louis Vuitton ","Looping ","246.56","Very good condition","Cloth ","Brown ","28 cm","30 cm","9 cm","Singapore","Florence","","04/05/2020 ","10200364","",NA,281.79,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-looping-louis-vuitton-handbag-10200364.shtml",246.56
NA,23,"Louis Vuitton ","Papillon ","246.56","Fair condition","Cloth ","Brown ",NA,NA,NA,"Japan","reclo","","04/05/2020 ","10224207","Professional seller",NA,255.37,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-papillon-louis-vuitton-handbag-10224207.shtml",246.56
NA,50,"Louis Vuitton ","Saint Cloud vintage ","246.56","Fair condition","Cloth ","Brown ",NA,NA,NA,"Japan","luxe brand cerisier","","22/04/2020 ","10071808","Professional seller",NA,246.56,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-saint-cloud-vintage-louis-vuitton-handbag-10071808.shtml",246.56
NA,78,"Louis Vuitton ","Noé ","246.56","Fair condition","Cloth ","Brown ",NA,NA,NA,"Japan","luxe brand cerisier","","21/04/2020 ","10057713","Professional seller",NA,246.56,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-noe-louis-vuitton-handbag-10057713.shtml",246.56
NA,44,"Louis Vuitton ","Popincourt ","246.56","Fair condition","Cloth ","Brown ",NA,NA,NA,"Japan","luxe brand cerisier","","01/04/2020 ","9839269","Professional seller",NA,299.4,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-popincourt-louis-vuitton-handbag-9839269.shtml",246.56
NA,34,"Louis Vuitton ","Reporter ","246.56","Fair condition","Cloth ","Brown ",NA,NA,NA,"Japan","luxe brand cerisier","","01/04/2020 ","9839274","Professional seller",NA,299.4,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-reporter-louis-vuitton-handbag-9839274.shtml",246.56
NA,68,"Louis Vuitton ","Noé ","246.56","Fair condition","Cloth ","Brown ",NA,NA,NA,"Japan","luxe brand cerisier","","24/03/2020 ","9778729","Professional seller",NA,272.98,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-noe-louis-vuitton-handbag-9778729.shtml",246.56
NA,70,"Louis Vuitton ","Noé ","246.56","Fair condition","Cloth ","Brown ",NA,NA,NA,"Japan","luxe brand cerisier","","24/03/2020 ","9779463","Professional seller",NA,281.79,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-noe-louis-vuitton-handbag-9779463.shtml",246.56
NA,7,"Louis Vuitton ","Batignolles ","246.56","Fair condition","Cloth ","Brown ",NA,NA,NA,"Japan","luxe brand cerisier","","12/03/2020 ","9690607","Professional seller",NA,317.01,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-batignolles-louis-vuitton-handbag-9690607.shtml",246.56
NA,20,"Louis Vuitton ","Noé ","246.56","Fair condition","Cloth ","Brown ",NA,NA,NA,"Japan","luxe brand cerisier","","12/03/2020 ","9690656","Professional seller",NA,317.01,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-noe-louis-vuitton-handbag-9690656.shtml",246.56
NA,7,"Louis Vuitton ","Amazon ","246.56","Fair condition","Cloth ","Brown ",NA,NA,NA,"Japan","luxe brand cerisier","","06/02/2020 ","9373708","Professional seller",NA,325.82,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-amazon-louis-vuitton-handbag-9373708.shtml",246.56
NA,14,"Louis Vuitton ","Danube ","247","Good condition","Cloth ","Brown ","20 cm","28 cm","7 cm","Netherlands","dani","","29/09/2020 ","11977875","",NA,280,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-danube-louis-vuitton-handbag-11977875.shtml",247
NA,27,"Louis Vuitton ","Speedy ","247","Fair condition","Cloth ","Brown ","25 cm","21 cm",NA,"France","lydia","","25/09/2020 ","11938292","",NA,325,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-speedy-louis-vuitton-handbag-11938292.shtml",247
NA,8,"Louis Vuitton ","Houston ","247","Good condition","Patent leather ","Yellow ","26 cm","30 cm","15 cm","Netherlands","Sandra","","10/05/2020 ","10279576","",NA,247,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/yellow-patent-leather-houston-louis-vuitton-handbag-10279576.shtml",247
NA,23,"Louis Vuitton ","Trocadéro ","247.47","Good condition","Cloth ","Brown ","27 cm","16 cm",NA,"Denmark","Marie Louise","","10/09/2020 ","11730536","",NA,247.47,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-trocadero-louis-vuitton-handbag-11730536.shtml",247.47
NA,46,"Louis Vuitton ",NA,"247.75","Fair condition","Cloth ","Brown ","32 cm","28 cm",NA,"Denmark","Mikael","","10/09/2020 ","11729819","",NA,247.75,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-11729819.shtml",247.75
NA,14,"Louis Vuitton ","Speedy ","247.75","Fair condition","Leather ","Brown ","32 cm","22 cm",NA,"Denmark","jenny","","25/07/2020 ","11196204","",NA,330.33,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-leather-speedy-louis-vuitton-handbag-11196204.shtml",247.75
NA,17,"Louis Vuitton ","Houston ","247.75","Good condition","Patent leather ","Brown ","29 cm","24 cm",NA,"Denmark","Marine","","10/07/2020 ","11024357","",NA,247.75,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-patent-leather-houston-louis-vuitton-handbag-11024357.shtml",247.75
NA,21,"Louis Vuitton ","Speedy ","248","Fair condition","Cloth ","Brown ","25 cm","18 cm","15 cm","United Kingdom","M","","23/10/2020 ","12416200","",NA,250,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-speedy-louis-vuitton-handbag-12416200.shtml",248
NA,2,"Louis Vuitton ","Papillon ","248","Good condition","Cloth ","Brown ",NA,NA,NA,"United Kingdom","haute ","","28/08/2020 ","11556016","Professional seller",NA,498.28,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-papillon-louis-vuitton-handbag-11556016.shtml",248
NA,15,"Louis Vuitton ","Speedy ","248","Fair condition","Cloth ","Beige ","30 cm","21 cm","17 cm","United Kingdom","nisha","","20/08/2020 ","11472387","",NA,292.77,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-cloth-speedy-louis-vuitton-handbag-11472387.shtml",248
