"Date_sold","Price_sold","Last_known_price","Initial_price","Likes","Designer","Model","Condition","Material","Color","Location","Seller","Sold_with","Online_since","Reference","Link","Seller_title","Width","Height","Depth"
"June 10, 2020","87,83",85.21,170.42,26,"Louis Vuitton ",NA,"Very good condition","Cloth ","Multicolour ","Hong Kong","izory","","23/03/2020 ","9761999","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/multicolour-cloth-louis-vuitton-handbag-9761999.shtml","",NA,NA,NA
"August 21, 2020","85,63",87.18,123.28,6,"Louis Vuitton ","Reade ","Fair condition","Patent leather ","Khaki ","Japan","Brand street tokyo","","07/08/2020 ","11340392","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/khaki-patent-leather-reade-louis-vuitton-handbag-11340392.shtml","Professional seller",NA,NA,NA
"September 5, 2020","89",89,89,25,"Louis Vuitton ",NA,"Fair condition","Patent leather ","Beige ","France","ks","","03/09/2020 ","11636162","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-patent-leather-louis-vuitton-handbag-11636162.shtml","","10.5 cm","17 cm",NA
"July 26, 2020","89",89,89,6,"Louis Vuitton ",NA,"Fair condition","Cloth ","Brown ","France","ks","","24/07/2020 ","11199736","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-11199736.shtml","","25.5 cm","15.5 cm",NA
"August 22, 2020","89,15",90.89,90.89,3,"Louis Vuitton ","Sac d'<U+00E9>paule ","Fair condition","Leather ","Black ","Hong Kong","allu","","22/08/2020 ","11477247","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/black-leather-sac-depaule-louis-vuitton-handbag-11477247.shtml","Professional seller","32 cm","28 cm","14 cm"
"September 8, 2020","92,03",93.61,105.67,235,NA,NA,NA,NA,NA,NA,"","",NA,NA,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/yellow-patent-leather-houston-louis-vuitton-handbag-8909013.shtml",NA,NA,NA,NA
"September 30, 2020","95",95,95,14,"Louis Vuitton ","Houston ","Very good condition","Patent leather ","Gold ","France","the brand collector","","29/09/2020 ","11779018","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/gold-patent-leather-houston-louis-vuitton-handbag-11779018.shtml","Professional seller",NA,NA,NA
"May 18, 2020","102,81",95.37,95.37,10,"Louis Vuitton ",NA,"Fair condition","Patent leather ","Beige ","United States","heejin","","18/05/2020 ","10394370","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-patent-leather-louis-vuitton-handbag-10394370.shtml","","17 cm","19 cm","5.5 cm"
"May 5, 2020","101,45",95.4,113.61,17,"Louis Vuitton ",NA,"Fair condition","Patent leather ","Beige ","Hong Kong","Mo ","","03/05/2020 ","10182602","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-patent-leather-louis-vuitton-handbag-10182602.shtml","","17 cm","19 cm","5.5 cm"
"July 2, 2020","100,40",96.86,96.86,17,"Louis Vuitton ","Neverfull ","Never worn","Cloth ","Brown ","United States","Princess","Dustbag ,Original box","02/07/2020 ","10933822","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-neverfull-louis-vuitton-handbag-10933822.shtml","","30.5 cm","27.9 cm","15.2 cm"
"October 1, 2020","97,38",98.56,113.76,32,"Louis Vuitton ","Houston ","Fair condition","Patent leather ","Gold ","United Kingdom","e","","28/09/2020 ","11976294","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/gold-patent-leather-houston-louis-vuitton-handbag-11976294.shtml","","30 cm","24.9 cm","14 cm"
"October 17, 2020","99",99,99,2,"Louis Vuitton ",NA,"Fair condition","Cloth ","Brown ","France","ks","","16/10/2020 ","12291679","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-12291679.shtml","","11 cm","14 cm","3 cm"
"October 16, 2020","99",99,99,12,"Louis Vuitton ",NA,"Fair condition","Cloth ","Brown ","Italy","Camilla","","15/10/2020 ","12290279","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-12290279.shtml","","11 cm","14 cm",NA
"October 25, 2020","99",99,99,58,"Louis Vuitton ",NA,"Fair condition","Cloth ","Brown ","France","ks","","14/10/2020 ","12257650","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-12257650.shtml","","22 cm","15 cm","5 cm"
"October 10, 2020","99",99,99,1,"Louis Vuitton ",NA,"Fair condition","Cloth ","Brown ","France","ks","","10/10/2020 ","12184745","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-12184745.shtml","","11 cm","14 cm",NA
"October 4, 2020","99",99,99,9,"Louis Vuitton ",NA,"Fair condition","Cloth ","Brown ","France","ks","","04/10/2020 ","12086007","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-12086007.shtml","","28 cm","16.5 cm","8 cm"
"August 21, 2020","99",99,99,11,"Louis Vuitton ","Boulogne ","Fair condition","Cloth ","Brown ","France","ks","","20/08/2020 ","11472419","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-boulogne-louis-vuitton-handbag-11472419.shtml","",NA,NA,NA
"July 30, 2020","99",99,99,2,"Louis Vuitton ",NA,"Fair condition","Cloth ","Brown ","France","ks","","29/07/2020 ","11241385","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-11241385.shtml","","41 cm","29 cm","5 cm"
"July 28, 2020","99",99,99,1,"Louis Vuitton ",NA,"Fair condition","Cloth ","Brown ","France","ks","","28/07/2020 ","11241092","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-11241092.shtml","","41 cm","29 cm","5 cm"
"July 26, 2020","99",99,99,9,"Louis Vuitton ",NA,"Good condition","Cloth ","Green ","France","ks","Dustbag","24/07/2020 ","11199481","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/green-cloth-louis-vuitton-handbag-11199481.shtml","",NA,NA,NA
"July 2, 2020","99",99,99,4,"Louis Vuitton ",NA,"Good condition","Leather ","Brown ","France","ks","Dustbag ,Original box","01/07/2020 ","10932095","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-leather-louis-vuitton-handbag-10932095.shtml","",NA,NA,NA
"June 18, 2020","99",99,99,1,"Louis Vuitton ",NA,"Good condition","Cotton ","Beige ","France","the brand collector","","18/06/2020 ","10778398","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-cotton-louis-vuitton-handbag-10778398.shtml","Professional seller",NA,NA,NA
"September 30, 2020","100",100,100,23,"Louis Vuitton ","Papillon ","Fair condition","Cloth ","Brown ","Portugal","rute","","30/09/2020 ","12002986","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-papillon-louis-vuitton-handbag-12002986.shtml","","38.1 cm","17.8 cm","15.2 cm"
"August 23, 2020","100",100,128,12,"Louis Vuitton ","Houston ","Fair condition","Patent leather ","Red ","Netherlands","Basak","","18/08/2020 ","11445719","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/red-patent-leather-houston-louis-vuitton-handbag-11445719.shtml","","23 cm","18 cm","11 cm"
"June 25, 2020","100",100,100,7,"Louis Vuitton ",NA,"Fair condition","Leather ","Black ","Romania","nicoleta","","25/06/2020 ","10856644","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/black-leather-louis-vuitton-handbag-10856644.shtml","","40 cm","40 cm","20 cm"
"June 16, 2020","100",100,100,6,"Louis Vuitton ","Speedy ","Fair condition","Cloth ","Brown ","Italy","valentina","","16/06/2020 ","10732569","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-speedy-louis-vuitton-handbag-10732569.shtml","","35 cm","23 cm","20 cm"
"June 1, 2020","100",100,100,16,"Louis Vuitton ","Neverfull ","Fair condition","Cloth ","Brown ","Italy","camilla ","","30/05/2020 ","10537579","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-neverfull-louis-vuitton-handbag-10537579.shtml","","39 cm","32 cm","19 cm"
"June 29, 2020","101",101,139,12,"Louis Vuitton ","No<U+00E9> ","Fair condition","Cloth ","Brown ","France","stephanie","","29/06/2020 ","10889189","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-noe-louis-vuitton-handbag-10889189.shtml","","26 cm","35 cm","18 cm"
"September 30, 2020","101,15",102.39,125.14,9,"Louis Vuitton ","Houston ","Fair condition","Patent leather ","Green ","United Kingdom","e","","28/09/2020 ","11976714","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/green-patent-leather-houston-louis-vuitton-handbag-11976714.shtml","","24.9 cm","30 cm","14 cm"
"July 22, 2020","101,93",102.39,113.76,3,"Louis Vuitton ","Danube ","Fair condition","Cloth ","Beige ","United Kingdom","Rubina ","","22/07/2020 ","11166542","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-cloth-danube-louis-vuitton-handbag-11166542.shtml","","17.8 cm","38.1 cm","35.6 cm"
"August 20, 2020","100,36",103.03,1204.64,2,"Louis Vuitton ","Alma ","Good condition","Patent leather ","Burgundy ","United Arab Emirates","The Luxury Closet","","02/07/2020 ","10933570","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/burgundy-patent-leather-alma-louis-vuitton-handbag-10933570.shtml","Professional seller","38.5 cm","29 cm","19 cm"
"August 20, 2020","100,36",103.03,1204.64,11,"Louis Vuitton ","Alma ","Good condition","Patent leather ","Burgundy ","United Arab Emirates","The Luxury Closet","","02/07/2020 ","10933488","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/burgundy-patent-leather-alma-louis-vuitton-handbag-10933488.shtml","Professional seller","38.5 cm","29 cm","19 cm"
"June 29, 2020","105",105,150,8,"Louis Vuitton ",NA,"Very good condition","Cloth ","Brown ","France","Valentine","","29/06/2020 ","10891887","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-10891887.shtml","","28,5 cm","22 cm","9 cm"
"June 5, 2020","105",105,150,9,"Louis Vuitton ",NA,"Good condition","Synthetic ","White ","Spain","Mona","","03/06/2020 ","10576427","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/white-synthetic-louis-vuitton-handbag-10576427.shtml","","24 cm","32 cm","6 cm"
"May 5, 2020","112,41",105.67,132.09,87,"Louis Vuitton ","Papillon ","Fair condition","Patent leather ","Yellow ","Japan","luxe brand cerisier","","05/03/2020 ","9630886","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/yellow-patent-leather-papillon-louis-vuitton-handbag-9630886.shtml","Professional seller",NA,NA,NA
"August 20, 2020","104,64",107.43,1258.35,2,"Louis Vuitton ","Alma ","Good condition","Leather ","Brown ","United Arab Emirates","The Luxury Closet","","16/01/2020 ","9196366","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-leather-alma-louis-vuitton-handbag-9196366.shtml","Professional seller","31 cm","23.5 cm","15 cm"
"October 21, 2020","110",110,130,27,"Louis Vuitton ","No<U+00E9> ","Fair condition","Cloth ","Brown ","Germany","lara","","20/10/2020 ","12358859","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-noe-louis-vuitton-handbag-12358859.shtml","","26 cm","35 cm","17 cm"
"August 2, 2020","110",110,130,12,"Louis Vuitton ","Antigua ","Very good condition","Cloth ","Ecru ","Greece","VASILIKI","Dustbag ,Original box","24/07/2020 ","11195785","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/ecru-cloth-antigua-louis-vuitton-handbag-11195785.shtml","","20 cm","15 cm","2.5 cm"
"July 13, 2020","110",110,130,294,"Louis Vuitton ","No<U+00E9> ","Fair condition","Cloth ","Brown ","Hungary","alba","","29/06/2020 ","10896174","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-noe-louis-vuitton-handbag-10896174.shtml","","101.6 cm","127 cm","76.2 cm"
"May 21, 2020","110",110,120,2,"Louis Vuitton ","Lockit Vertical ","Fair condition","Cloth ","Multicolour ","Italy","Alice","","21/05/2020 ","10412675","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/multicolour-cloth-lockit-vertical-louis-vuitton-handbag-10412675.shtml","","22 cm","28 cm","11 cm"
"May 8, 2020","110",110,110,8,"Louis Vuitton ",NA,"Good condition","Patent leather ","Other ","Austria","Renee","","08/05/2020 ","10258089","https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/patent-leather-louis-vuitton-handbag-10258089.shtml","","20 cm","12,5 cm","3,5 cm"
