"Date_sold","Likes","Designer","Model","Price_sold","Condition","Material","Color","Width","Height","Depth","Location","Seller","Sold_with","Online_since","Reference"
"August 5, 2020",3,"3.1 Phillip Lim","Pashli","78,73 €","Good condition  More infos","Leather","Pink","25 cm","16 cm","8 cm","Hong Kong","Allu","","05/08/2020","11302871"
"August 6, 2020",12,"3.1 Phillip Lim",NA,"56,04 €","Very good condition  More infos","Leather","White","15.5 cm","21.5 cm","10 cm","Hong Kong","Allu","","05/08/2020","11302831"
"August 6, 2020",4,"3.1 Phillip Lim","Pashli","149,27 €","Good condition  More infos","Leather","Black","31.75 cm","25.4 cm","10.16 cm","Australia","Frankie","","01/08/2020","11274907"
"August 2, 2020",12,"3.1 Phillip Lim","Pashli","170 €","Very good condition  More infos","Leather","Burgundy","22 cm","20 cm","7 cm","France","Camille","","26/07/2020","11213316"
"August 4, 2020",3,"3.1 Phillip Lim","Pashli","213 €","Good condition  More infos","Leather","Black","32 cm","27 cm","10 cm","Germany","laura","","30/07/2020","11257133"
"August 5, 2020",4,"3.1 Phillip Lim",NA,"256,25 €","Very good condition  More infos","Leather","Navy","23 cm","18 cm","9 cm","Singapore","Natalie","","31/07/2020","11225921"
"July 30, 2020",0,"3.1 Phillip Lim","Pashli","65,60 €","Fair condition  More infos","Leather","Beige","8 cm","6 cm","3 cm","Hong Kong","glora","","30/07/2020","11253067"
"August 6, 2020",6,"3.1 Phillip Lim",NA,"195,44 €","Very good condition  More infos","Leather","Multicolour","48.3 cm","29.2 cm","11.4 cm","United States","Michele","","22/07/2020","11165370"
"July 30, 2020",11,"3.1 Phillip Lim",NA,"144,41 €","Very good condition  More infos","Leather","Green","33 cm","21.6 cm","7.6 cm","United Kingdom","xixi","","09/07/2020","11019941"
"August 2, 2020",11,"3.1 Phillip Lim","Pashli","110 €","Fair condition  More infos","Leather","Black","22 cm","18 cm","9 cm","Italy","Daniel","","17/07/2020","11105537"
"August 1, 2020",1,"3.1 Phillip Lim","Pashli","276,33 €","Very good condition  More infos","Leather","Gold","21 cm","17 cm","7.5 cm","Hong Kong","Muriel","Dustbag","08/03/2020","9643149"
"August 1, 2020",7,"3.1 Phillip Lim","Pashli","340 €","Very good condition  More infos","Leather","Red","32 cm","25 cm","11 cm","Italy","greta","","17/12/2019","8979975"
"August 15, 2019",41,"3.1 Phillip Lim","Pashli","284 €","Very good condition  More infos","Leather","Red","26 cm","21 cm","10 cm","Spain","zina","","29/03/2019","7190648"
"September 3, 2019",43,"3.1 Phillip Lim","Pashli","204,85 €","Very good condition  More infos","Leather","Red","22.9 cm","11.4 cm","6.4 cm","United Kingdom","Cherry","Dustbag","17/05/2019","7532767"
"September 17, 2019",38,"3.1 Phillip Lim","Pashli","276,80 €","Very good condition  More infos","Leather","Beige","32 cm","25 cm","11 cm","United Kingdom","emma","Dustbag","16/11/2018","6530685"
"January 10, 2020",14,"3.1 Phillip Lim","Pashli","415 €","Very good condition  More infos","Leather","Green","32 cm","23 cm","10 cm","Germany","suyi","","20/04/2019","7359975"
"August 1, 2020",20,"3.1 Phillip Lim",NA,"175 €","Very good condition  More infos","Exotic leathers","Black","40 cm","30 cm","10 cm","Spain","Irina","","14/12/2019","8966208"
"August 28, 2019",4,"3.1 Phillip Lim",NA,"162,10 €","Good condition  More infos","Leather","Multicolour","51 cm","35.5 cm","20 cm","United Kingdom","susan","","08/07/2019","7836741"
"October 29, 2019",9,"3.1 Phillip Lim","Pashli","400 €","Very good condition  More infos","Leather","Beige","32 cm","25 cm","10 cm","France","anais","Dustbag","15/11/2017","1783473"
"May 27, 2020",4,"3.1 Phillip Lim","Pashli","102,73 €","Very good condition  More infos","Leather","Brown","30 cm","24 cm","8 cm","Hong Kong","Carey","","03/05/2020","10209335"
"July 26, 2020",4,"3.1 Phillip Lim","Pashli","174,25 €","Very good condition  More infos","Leather","Black","31.8 cm","25.4 cm","10.2 cm","United Kingdom","Sylvia","","24/07/2020","11198777"
"July 22, 2020",8,"3.1 Phillip Lim","Pashli","165 €","Never worn  More infos","Pony-style calfskin","Anthracite","22 cm","16 cm","9 cm","Italy","Laura","Dustbag","15/07/2020","11082217"
"June 28, 2020",9,"3.1 Phillip Lim","Pashli","250 €","Very good condition  More infos","Leather","Turquoise","23 cm","19 cm","8 cm","Netherlands","Iryna","Dustbag","22/06/2020","10823031"
"July 9, 2020",3,"3.1 Phillip Lim","Pashli","280 €","Very good condition  More infos","Leather","Black","30 cm","30 cm","15 cm","France","auriane","","05/07/2020","10959627"
"July 24, 2020",7,"3.1 Phillip Lim","Pashli","311,74 €","Very good condition  More infos","Leather","Black","37 cm","28 cm","13 cm","Italy","Giovanna","Dustbag","05/07/2020","10963027"
"June 30, 2020",0,"3.1 Phillip Lim","Pashli","185 €","Very good condition  More infos","Leather","Blue","25 cm","20 cm","8 cm","Vestiaire Collective Paris","Vestiaire Collective Paris","","30/06/2020","10912519"
"July 12, 2020",12,"3.1 Phillip Lim","Pashli","180 €","Very good condition  More infos","Leather","Blue","21.59 cm","16.51 cm","7.62 cm","Germany","Christina","Dustbag","29/06/2020","10897352"
"July 4, 2020",2,"3.1 Phillip Lim","Pashli","250 €","Very good condition  More infos","Leather","Black","22 cm","20 cm","9 cm","Italy","Alessandra","Dustbag","03/07/2020","10944605"
"July 26, 2020",20,"3.1 Phillip Lim","Pashli","210 €","Never worn  More infos","Leather","Blue","31,8 cm","25,4 cm","10,2 cm","France","garance","","03/07/2020","10946768"
"June 29, 2020",13,"3.1 Phillip Lim","Pashli","220 €","Very good condition  More infos","Leather","Red","28 cm","19 cm","9 cm","Germany","jingyi","Dustbag","25/06/2020","10859448"
"July 1, 2020",1,"3.1 Phillip Lim","Pashli","336,43 €","Never worn  More infos","Leather","Multicolour",NA,NA,NA,"United Kingdom","eva","Dustbag","01/07/2020","10922584"
"July 10, 2020",8,"3.1 Phillip Lim","Pashli","208,54 €","Very good condition  More infos","Leather","Black","32 cm","25 cm","10 cm","Australia","T","Dustbag","24/06/2020","10843609"
"July 10, 2020",16,"3.1 Phillip Lim","Alix","153,80 €","Never worn  More infos","Leather","White","21.6 cm","14 cm","11.4 cm","United States","Angella","","30/06/2020","10915489"
"July 9, 2020",24,"3.1 Phillip Lim","Pashli","201 €","Very good condition  More infos","Leather","Black","37 cm","31 cm",NA,"Croatia","Nika","","14/06/2020","10710550"
"July 14, 2020",9,"3.1 Phillip Lim",NA,"93,31 €","Good condition  More infos","Leather","Black","26 cm","17 cm","9 cm","Austria","anne-christine","","04/07/2020","10957866"
"July 18, 2020",6,"3.1 Phillip Lim","Pashli","340 €","Very good condition  More infos","Leather","Blue","32 cm","23 cm","10 cm","Luxembourg","cristina","","12/06/2020","10679991"
"June 27, 2020",8,"3.1 Phillip Lim",NA,"110,48 €","Very good condition  More infos","Leather","White","20.3 cm","24.1 cm","10.2 cm","United States","renata","","21/06/2020","10814165"
"July 12, 2020",3,"3.1 Phillip Lim","Alix","90,71 €","Good condition  More infos","Leather","Grey","11.4 cm","14 cm","21.6 cm","Canada","Jialin","Dustbag","12/07/2020","11040251"
"July 9, 2020",22,"3.1 Phillip Lim","Pashli","174,83 €","Very good condition  More infos","Patent leather","Grey","23 cm","26 cm","7 cm","France","anne-sophie","","11/06/2020","10678488"
"June 28, 2020",2,"3.1 Phillip Lim",NA,"92,25 €","Very good condition  More infos","Leather","Black","33 cm","29.8 cm","15.2 cm","Hong Kong","isabel","","27/06/2020","10880534"
"June 8, 2020",0,"3.1 Phillip Lim","Pashli","343,78 €","Never worn  More infos","Leather","Multicolour","24.9 cm","18 cm","7.9 cm","United Kingdom","eva","Dustbag","06/06/2020","10605267"
"June 3, 2020",6,"3.1 Phillip Lim","Pashli","165,69 €","Very good condition  More infos","Leather","Black","36 cm","28 cm","10 cm","Hong Kong","Shan","Dustbag","02/06/2020","10556613"
"July 3, 2020",10,"3.1 Phillip Lim","Pashli","154,60 €","Good condition  More infos","Leather","Black","30 cm","39 cm","13 cm","United Kingdom","maria","","18/06/2020","10772590"
"June 10, 2020",8,"3.1 Phillip Lim","Pashli","138,02 €","Good condition  More infos","Leather","Beige","25 cm","20 cm","8 cm","United Kingdom","Polina","","08/06/2020","10630453"
"June 12, 2020",5,"3.1 Phillip Lim",NA,"130 €","Very good condition  More infos","Leather","Black","25 cm","22 cm","11 cm","Ireland","deborah","","10/06/2020","10661694"
"June 16, 2020",18,"3.1 Phillip Lim","Pashli","224,32 €","Very good condition  More infos","Leather","Grey","23 cm","18 cm","9 cm","Australia","linxi","","31/05/2020","10544089"
"May 24, 2020",5,"3.1 Phillip Lim","Pashli","148,63 €","Very good condition  More infos","Leather","Pink","33 cm","26 cm","8 cm","Hong Kong","karen","Dustbag ,Card or certificate","23/05/2020","10454795"
"June 30, 2020",16,"3.1 Phillip Lim","Pashli","169,16 €","Very good condition  More infos","Leather","Blue","40 cm","30 cm","12 cm","Australia","yahui","","22/05/2020","10442353"
"May 9, 2020",71,"3.1 Phillip Lim","Pashli","175 €","Good condition  More infos","Leather","Black","31 cm","27 cm",NA,"France","Vestiaire Collective","Dustbag","07/05/2020","10256163"
"May 30, 2020",5,"3.1 Phillip Lim","Pashli","105 €","Very good condition  More infos","Leather","Orange","28 cm","31 cm",NA,"Italy","paola","Dustbag","27/05/2020","10501382"
"June 1, 2020",6,"3.1 Phillip Lim","Pashli","282,17 €","Good condition  More infos","Leather","Black","25 cm","19 cm","7.5 cm","United Kingdom","Rongdong","","28/05/2020","10514492"
"May 22, 2020",1,"3.1 Phillip Lim","Pashli","280 €","Very good condition  More infos","Patent leather","Grey","23 cm","26 cm","7 cm","Sweden","amanda","","19/05/2020","10404557"
"June 10, 2020",24,"3.1 Phillip Lim","Pashli","189,77 €","Very good condition  More infos","Leather","Multicolour","24 cm","20 cm","6 cm","United Kingdom","katrine","","12/05/2020","10315952"
"April 25, 2020",7,"3.1 Phillip Lim","Pashli","200 €","Very good condition  More infos","Leather","Pink","32 cm","26 cm","11 cm","Italy","paola","","22/04/2020","10069777"
"July 26, 2020",23,"3.1 Phillip Lim",NA,"150 €","Good condition  More infos","Leather","Black","22 cm","24 cm","17 cm","Germany","Anna","","23/06/2020","10842213"
"April 26, 2020",8,"3.1 Phillip Lim","Pashli","284,72 €","Very good condition  More infos","Leather","Beige","22.9 cm","17.8 cm","8.9 cm","United States","olga","","21/04/2020","10050831"
"July 6, 2020",17,"3.1 Phillip Lim","Pashli","364,44 €","Good condition  More infos","Leather","White","23 cm","18 cm","8 cm","United States","Sandra","","22/05/2020","10446190"
"July 27, 2020",22,"3.1 Phillip Lim","Alix","240 €","Very good condition  More infos","Leather","Beige","17 cm","13 cm","5.5 cm","Belgium","Els","","20/05/2020","10420409"
"May 28, 2020",27,"3.1 Phillip Lim","Pashli","190 €","Never worn  More infos","Leather","Blue","22 cm","18 cm","7 cm","France","Céline","","13/05/2020","10329374"
"May 27, 2020",10,"3.1 Phillip Lim","Pashli","220 €","Never worn  More infos","Leather","Pink","22 cm","20 cm","13 cm","Italy","paola","Dustbag","07/05/2020","10245929"
"May 1, 2020",15,"3.1 Phillip Lim","Pashli","135,64 €","Very good condition  More infos","Leather","Pink","76.2 cm","63.5 cm","25.4 cm","United Kingdom","mariyam","","29/04/2020","10161625"
"April 14, 2020",1,"3.1 Phillip Lim","Pashli","300 €","Never worn  More infos","Leather","Black","26 cm","24 cm","7 cm","Belgium","deborah","","14/04/2020","9964561"
"May 27, 2020",2,"3.1 Phillip Lim",NA,"160 €","Very good condition  More infos","Leather","Yellow","34 cm","21 cm","15 cm","France","Géraldine","Dustbag","26/05/2020","10482568"
"June 13, 2020",5,"3.1 Phillip Lim","Alix","279,65 €","Never worn  More infos","Leather","Red","17.8 cm","15.2 cm","7.6 cm","United Kingdom","Nilofar","","19/05/2020","10407536"
"May 7, 2020",77,"3.1 Phillip Lim","Pashli","158,81 €","Very good condition  More infos","Leather","Black","21.6 cm","16.5 cm",NA,"United States","xuelin","Dustbag","19/04/2020","10021969"
"April 25, 2020",1,"3.1 Phillip Lim","Pashli","256,25 €","Very good condition  More infos","Leather","Brown","22.9 cm","22.4 cm","7.6 cm","United States","jenn","","25/04/2020","10100737"
"May 3, 2020",7,"3.1 Phillip Lim","Pashli","173,23 €","Very good condition  More infos","Patent leather","Black","32 cm","22 cm","10 cm","Australia","li","Dustbag","01/05/2020","10180409"
"April 10, 2020",15,"3.1 Phillip Lim","Pashli","200,72 €","Very good condition  More infos","Leather","Multicolour","23 cm","18 cm","9 cm","Hong Kong","eva","Dustbag","28/03/2020","9815288"
"April 30, 2020",8,"3.1 Phillip Lim","Pashli","281,61 €","Very good condition  More infos","Leather","Purple","23 cm","18 cm","9 cm","Germany","Maria","Dustbag","22/04/2020","10063789"
"July 16, 2020",10,"3.1 Phillip Lim",NA,"157,07 €","Very good condition  More infos","Leather","Black","20.3 cm","22.9 cm","11.4 cm","United States","ashley","","24/05/2020","10456684"
"June 20, 2020",9,"3.1 Phillip Lim","Pashli","300 €","Never worn  More infos","Pony-style calfskin","Black","21 cm","19 cm","9 cm","Germany","Pia","Dustbag","12/05/2020","10325102"
"May 8, 2020",13,"3.1 Phillip Lim","Pashli","215,25 €","Never worn, with tag  More infos","Leather","Other","21 cm","18 cm","9 cm","United Kingdom","Jannie","","27/04/2020","10129762"
"April 15, 2020",8,"3.1 Phillip Lim","Pashli","200 €","Very good condition  More infos","Leather","Purple","25 cm","18 cm","8 cm","Belgium","Els","Dustbag","13/04/2020","9951203"
"June 17, 2020",9,"3.1 Phillip Lim",NA,"99 €","Good condition  More infos","Leather","Black","35 cm","28 cm","15 cm","Austria","alexandra","","09/06/2020","10652217"
"June 20, 2020",15,"3.1 Phillip Lim",NA,"82 €","Good condition  More infos","Leather","Multicolour","20 cm","14 cm","7 cm","Sweden","lovisa","","27/05/2020","10499728"
"April 30, 2020",7,"3.1 Phillip Lim","Pashli","129,04 €","Never worn  More infos","Leather","Black","17,5 cm","13 cm","7 cm","United Kingdom","Olivia","","29/04/2020","10161872"
"May 10, 2020",23,"3.1 Phillip Lim","Pashli","207,31 €","Good condition  More infos","Leather","Green","21.59 cm","16.51 cm","7.62 cm","Hong Kong","daphne","","05/04/2020","9884432"
"June 10, 2020",12,"3.1 Phillip Lim","Pashli","221,29 €","Never worn  More infos","Leather","Blue","40 cm","30 cm","10 cm","Germany","Ann","","02/05/2020","10194570"
"June 7, 2020",22,"3.1 Phillip Lim","Pashli","200,54 €","Very good condition  More infos","Leather","Navy","21 cm","16 cm","8 cm","United Kingdom","giulia","","17/03/2020","9731993"
"January 7, 2020",1,"3.1 Phillip Lim","Pashli","215 €","Very good condition  More infos","Leather","Purple","32 cm","25 cm","10 cm","Finland","Sirja Maria","","07/01/2020","9126677"
"March 3, 2020",19,"3.1 Phillip Lim","Pashli","150 €","Very good condition  More infos","Leather","Blue","31 cm","28 cm","10 cm","Belgium","linda","","27/02/2020","9570195"
"April 14, 2020",7,"3.1 Phillip Lim","Pashli","294,18 €","Very good condition  More infos","Leather","Black","20.3 cm","15.2 cm","7.6 cm","United Kingdom","roxie","Dustbag","29/02/2020","9582334"
"June 21, 2020",5,"3.1 Phillip Lim","Pashli","153,80 €","Fair condition  More infos","Leather","Black","22 cm","19 cm","7 cm","Hong Kong","ching","Card or certificate","05/06/2020","10591189"
"June 12, 2020",14,"3.1 Phillip Lim","Alix","416,62 €","Never worn, with tag  More infos","Leather","White","28 cm","21 cm","12 cm","United Kingdom","maria","Dustbag","09/04/2020","9918436"
"July 25, 2020",21,"3.1 Phillip Lim","Pashli","140 €","Very good condition  More infos","Leather","Blue","31.8 cm","25.4 cm","10.2 cm","Germany","Christina","","02/03/2020","9605557"
"February 26, 2020",5,"3.1 Phillip Lim","Pashli","260 €","Very good condition  More infos","Leather","Burgundy","21 cm","16 cm","8 cm","Ireland","Yuliya","Dustbag","30/01/2020","9313497"
"March 19, 2020",13,"3.1 Phillip Lim","Pashli","137,04 €","Good condition  More infos","Leather","Red","22.1 cm","15 cm","7.1 cm","United Kingdom","doris","Dustbag","13/03/2020","9708254"
"April 5, 2020",13,"3.1 Phillip Lim","Pashli","205 €","Very good condition  More infos","Leather","White","34 cm","26 cm","21 cm","Italy","paola","","16/02/2020","9463292"
"May 27, 2020",5,"3.1 Phillip Lim",NA,"104,63 €","Very good condition  More infos","Leather","Beige","50 cm","35 cm","14 cm","Hong Kong","Carey","","04/05/2020","10217924"
"July 19, 2020",38,"3.1 Phillip Lim","Pashli","250 €","Never worn, with tag  More infos","Leather","Blue","27 cm","32 cm",NA,"Italy","xuewen","","13/04/2020","9950162"
"July 7, 2020",33,"3.1 Phillip Lim",NA,"55 €","Very good condition  More infos","Leather","Black","26 cm","17 cm","9 cm","Austria","lilian","","26/03/2020","9798424"
"May 31, 2020",57,"3.1 Phillip Lim","Alix","200,25 €","Very good condition  More infos","Leather","Blue","20 cm","17 cm","11 cm","United Kingdom","pippa","","17/01/2020","9134407"
"May 20, 2020",1,"3.1 Phillip Lim","Alix","76,70 €","Good condition  More infos","Leather","Black","14 cm","18 cm","7 cm","United Kingdom","Xiao","","20/05/2020","10419770"
"November 16, 2019",19,"3.1 Phillip Lim","Pashli","177,18 €","Very good condition  More infos","Leather","Blue","32 cm","26 cm","10 cm","France","Vestiaire Collective","","12/11/2019","8689277"
"June 6, 2020",52,"3.1 Phillip Lim","Pashli","247 €","Very good condition  More infos","Leather","Navy","31 cm","24 cm","11 cm","Portugal","ana","","15/03/2020","9718951"
"June 4, 2020",11,"3.1 Phillip Lim","Alix","294,62 €","Very good condition  More infos","Leather","Black","17.8 cm","12.7 cm","5.1 cm","United Kingdom","Anastasia","","28/02/2020","9580396"
"February 23, 2020",7,"3.1 Phillip Lim","Pashli","276,16 €","Never worn  More infos","Leather","Black","31.8 cm","25.4 cm","10.2 cm","United Kingdom","mohammad","Dustbag","16/02/2020","9456518"
"February 21, 2020",2,"3.1 Phillip Lim","Pashli","300 €","Never worn  More infos","Leather","Black","21,5 cm","16,5 cm","6,3 cm","Spain","mariana","","20/02/2020","9507109"
"March 26, 2020",1,"3.1 Phillip Lim",NA,"150 €","Never worn  More infos","Leather","Black","29 cm","18 cm","9 cm","Italy","paola","Dustbag","26/03/2020","9800053"
"June 15, 2020",44,"3.1 Phillip Lim","Pashli","341,67 €","Very good condition  More infos","Leather","Black","21.6 cm","16.5 cm","7.6 cm","United Kingdom","cph","","29/12/2019","9055196"
"April 3, 2020",8,"3.1 Phillip Lim","Pashli","185 €","Good condition  More infos","Leather","Black","37 cm","25 cm",NA,"Italy","celine","Dustbag","25/03/2020","9793604"
"April 19, 2020",37,"3.1 Phillip Lim","Pashli","120 €","Good condition  More infos","Leather","Metallic","23 cm","18 cm","8 cm","Poland","Lila","","07/03/2020","9650066"
"May 14, 2020",33,"3.1 Phillip Lim","Pashli","270 €","Very good condition  More infos","Leather","Black","31 cm","25 cm","10 cm","Italy","Federica","Dustbag","15/12/2019","8971446"
"December 16, 2019",2,"3.1 Phillip Lim","Pashli","199,88 €","Very good condition  More infos","Leather","Camel","17 cm","20 cm","8 cm","Denmark","sabine","Dustbag","09/12/2019","8919800"
"March 25, 2020",7,"3.1 Phillip Lim","Pashli","118,18 €","Good condition  More infos","Leather","Green","31.8 cm","24.8 cm","10.2 cm","Hong Kong","Alison","","16/03/2020","9721070"
"January 21, 2020",4,"3.1 Phillip Lim","Pashli","200 €","Very good condition  More infos","Leather","Black","21.6 cm","16.5 cm","7.6 cm","France","Solène","","21/01/2020","9237772"
"January 28, 2020",7,"3.1 Phillip Lim","Pashli","185 €","Very good condition  More infos","Leather","Blue","22 cm","20 cm","8 cm","Netherlands","Suzanne","","25/01/2020","9264779"
"May 14, 2020",58,"3.1 Phillip Lim","Alix","121,04 €","Very good condition  More infos","Leather","Black","17.8 cm","12.7 cm","7.6 cm","Canada","Jiaxuan","","10/03/2020","9674902"
"February 1, 2020",3,"3.1 Phillip Lim","Pashli","255 €","Very good condition  More infos","Leather","Navy","40 cm","30 cm","12 cm","Finland","Roosa","","30/01/2020","9316457"
"April 24, 2020",9,"3.1 Phillip Lim","Pashli","150,43 €","Good condition  More infos","Leather","Beige","27 cm","19 cm","8 cm","Singapore","natania","","29/03/2020","9821399"
"January 7, 2020",9,"3.1 Phillip Lim","Pashli","200 €","Very good condition  More infos","Leather","Black","21.6 cm","16.5 cm","7.6 cm","Spain","Nagore","","06/01/2020","9108641"
"September 6, 2019",69,"3.1 Phillip Lim","Alix","250 €","Very good condition  More infos","Leather","Black","23,5 cm","17,5 cm","6,5 cm","Italy","ilaria","","31/01/2019","6937402"
"May 14, 2020",12,"3.1 Phillip Lim",NA,"190 €","Never worn, with tag  More infos","Leather","Red","29.8 cm","31.8 cm","14 cm","Italy","giuditta","Dustbag","05/04/2020","9880434"
"January 25, 2020",13,"3.1 Phillip Lim","Pashli","350 €","Very good condition  More infos","Leather","Black","37 cm","25 cm","7 cm","Netherlands","senyo.h","","10/01/2020","9139530"
"February 20, 2020",2,"3.1 Phillip Lim","Pashli","260 €","Good condition  More infos","Leather","Black","29.2 cm","22.9 cm","10.2 cm","Ireland","Aoife","","10/02/2020","9408541"
"February 27, 2020",5,"3.1 Phillip Lim","Pashli","148,99 €","Good condition  More infos","Leather","Red","22.1 cm","15 cm","7.1 cm","United Kingdom","doris","Dustbag","25/02/2020","9542019"
"May 12, 2020",39,"3.1 Phillip Lim","Pashli","285,89 €","Very good condition  More infos","Patent leather","Black","21.6 cm","16.5 cm","7.6 cm","United Kingdom","Angel","Dustbag ,Card or certificate","15/12/2019","8974191"
"March 14, 2020",44,"3.1 Phillip Lim","Pashli","200 €","Very good condition  More infos","Leather","Black","16 cm","21 cm","7 cm","Portugal","natercia","","23/01/2020","9259678"
"March 7, 2020",13,"3.1 Phillip Lim","Pashli","164,63 €","Very good condition  More infos","Leather","Black","30.5 cm","25.4 cm","7.6 cm","United Kingdom","Helen","Dustbag","29/12/2019","9061938"
"May 17, 2020",6,"3.1 Phillip Lim","Pashli","250,08 €","Very good condition  More infos","Leather","Black","31 cm","23 cm","10 cm","Romania","cristina","Dustbag","12/12/2019","8943698"
"March 4, 2020",6,"3.1 Phillip Lim",NA,"170 €","Never worn  More infos","Leather","Black","29 cm","20 cm","18 cm","Italy","paola","Dustbag","12/02/2020","9432245"
"February 1, 2020",14,"3.1 Phillip Lim","Pashli","316,68 €","Very good condition  More infos","Leather","Blue","25 cm","16 cm","9 cm","Germany","Ladypastel","Dustbag ,Card or certificate","26/12/2019","9038903"
"November 18, 2019",49,"3.1 Phillip Lim","Pashli","245 €","Very good condition  More infos","Leather","Green","28,6 cm","40,6 cm","12,7 cm","Germany","hannah","","18/06/2019","7733906"
"December 25, 2019",10,"3.1 Phillip Lim","Pashli","204,86 €","Very good condition  More infos","Leather","Black","35 cm","25 cm","13 cm","Hong Kong","Katie","Original box","26/11/2019","8816328"
"February 23, 2020",12,"3.1 Phillip Lim","Pashli","205,82 €","Good condition  More infos","Leather","Black","21 cm","18 cm","7 cm","Denmark","Zeynep","Dustbag","11/02/2020","9429882"
"March 10, 2020",14,"3.1 Phillip Lim","Pashli","309,61 €","Very good condition  More infos","Leather","Green","42 cm","28 cm","14 cm","Switzerland","Chantal","","12/10/2019","8410257"
"January 27, 2020",3,"3.1 Phillip Lim","Pashli","325 €","Very good condition  More infos","Leather","Ecru","35 cm","23 cm","12 cm","Switzerland","maeva","","12/01/2020","9159365"
"February 28, 2020",30,"3.1 Phillip Lim","Pashli","160 €","Good condition  More infos","Leather","Red","25 cm","19 cm","5 cm","France","Emily","","30/12/2019","9068584"
"November 24, 2019",11,"3.1 Phillip Lim","Pashli","230 €","Very good condition  More infos","Leather","Blue","35 cm","27 cm","12 cm","Italy","ziva","","20/11/2019","8765418"
"December 15, 2019",16,"3.1 Phillip Lim","Pashli","306,86 €","Very good condition  More infos","Leather","Red","15 cm","22 cm","7 cm","United Kingdom","doris","Dustbag","02/11/2019","8594484"
"January 2, 2020",3,"3.1 Phillip Lim","Pashli","100 €","Good condition  More infos","Leather","Other","24 cm","17 cm","8 cm","Hong Kong","Mimi","","30/12/2019","9067406"
"February 12, 2020",4,"3.1 Phillip Lim",NA,"230 €","Never worn  More infos","Leather","Black","70 cm","32 cm","30 cm","Italy","paola","Dustbag","12/02/2020","9432241"
"October 7, 2019",37,"3.1 Phillip Lim","Pashli","260 €","Very good condition  More infos","Leather","Black","21 cm","15 cm","7 cm","France","ratchaneewan","Card or certificate","10/09/2019","8188709"
"July 7, 2020",11,"3.1 Phillip Lim",NA,"130 €","Never worn, with tag  More infos","Fur","White","33 cm","14 cm","3 cm","Netherlands","Lynn","","09/03/2020","9672105"
"February 25, 2020",36,"3.1 Phillip Lim","Pashli","117,59 €","Good condition  More infos","Leather","Black","32 cm","27 cm","10 cm","Hong Kong","Ashley","Dustbag","21/01/2020","9220497"
"October 28, 2019",3,"3.1 Phillip Lim","Pashli","315 €","Very good condition  More infos","Leather","Black","33 cm","25 cm","10 cm","France","pc","","26/10/2019","8546244"
"September 25, 2019",24,"3.1 Phillip Lim","Pashli","170 €","Very good condition  More infos","Leather","Burgundy","21 cm","15 cm","7 cm","France","ratchaneewan","","10/09/2019","8188925"
"October 22, 2019",25,"3.1 Phillip Lim","Pashli","220 €","Very good condition  More infos","Leather","Multicolour","22 cm","16 cm","7 cm","France","I","","04/09/2019","8143825"
"January 8, 2020",3,"3.1 Phillip Lim","Pashli","180 €","Good condition  More infos","Leather","Gold","20 cm","15 cm","5 cm","Italy","Michelle","","04/01/2020","9094487"
"December 9, 2019",41,"3.1 Phillip Lim","Pashli","153,42 €","Good condition  More infos","Leather","Black","22.9 cm","20.3 cm","7.6 cm","Hong Kong","TasteMaker","","19/11/2019","8742583"
"March 9, 2020",24,"3.1 Phillip Lim","Pashli","154,88 €","Good condition  More infos","Leather","Black","27 cm","22 cm","13 cm","Finland","Sirja Maria","","11/01/2020","9139927"
"November 21, 2019",13,"3.1 Phillip Lim","Pashli","152,47 €","Good condition  More infos","Leather","Navy","21.6 cm","16.5 cm","7.6 cm","United Kingdom","sophie","Dustbag","13/11/2019","8686521"
"March 8, 2020",19,"3.1 Phillip Lim","Pashli","267,63 €","Very good condition  More infos","Leather","Metallic","21 cm","19 cm","8 cm","Hong Kong","Kiki","Dustbag ,Card or certificate","29/09/2019","8320251"
"July 19, 2020",12,"3.1 Phillip Lim",NA,"107,61 €","Very good condition  More infos","Leather","Black",NA,NA,NA,"United States","Cashinmybag","","08/05/2020","10273301"
"December 28, 2019",29,"3.1 Phillip Lim","Pashli","220 €","Good condition  More infos","Leather","Black","40 cm","32 cm","13 cm","France","léa","","07/11/2019","8646283"
"November 26, 2019",18,"3.1 Phillip Lim","Pashli","450 €","Very good condition  More infos","Leather","Black","30.5 cm","25.4 cm","10.2 cm","Netherlands","ttiffany","","18/09/2019","8250824"
"January 4, 2020",8,"3.1 Phillip Lim","Pashli","255 €","Very good condition  More infos","Leather","Navy","40 cm","30 cm","12 cm","Finland","Roosa","","07/10/2019","8383478"
"January 15, 2020",37,"3.1 Phillip Lim","Pashli","140,16 €","Good condition  More infos","Leather","Gold","25 cm","20.5 cm","10 cm","Netherlands","jiali","","13/12/2019","8957074"
"December 2, 2019",27,"3.1 Phillip Lim","Pashli","215,28 €","Good condition  More infos","Leather","Red","15 cm","20 cm","7 cm","United Kingdom","lihua","","31/10/2019","8586248"
"May 22, 2020",20,"3.1 Phillip Lim","Pashli","103,99 €","Good condition  More infos","Leather","Ecru","24 cm","17 cm","8 cm","Hong Kong","beth","Dustbag","11/12/2019","8932780"
"September 30, 2019",9,"3.1 Phillip Lim","Pashli","294,67 €","Very good condition  More infos","Leather","Black","41 cm","33 cm","13 cm","Denmark","nina","","16/09/2019","8231658"
