"Date_sold","Likes","Designer","Model","Price_sold","Condition","Material","Color","Width","Height","Depth","Location","Seller","Sold_with","Online_since","Reference"
"July 31, 2020",7,"Bvlgari",NA,"96,83 €","Very good condition  More infos","Cloth","Blue","22 cm","36 cm","3 cm","Hong Kong","Sunflower","","23/07/2020","11165931"
"May 8, 2020",106,"Bvlgari","Serpenti","945,31 €","Very good condition  More infos","Leather","Yellow","18 cm","15 cm","6.5 cm","Hong Kong","aug","","16/04/2020","9975908"
"July 13, 2020",17,"Bvlgari","Serpenti","1700 €","Never worn  More infos","Leather","Beige","26 cm","20 cm","8 cm","France","lin","","01/07/2020","10922421"
"June 27, 2020",17,"Bvlgari","Serpenti","1000 €","Never worn  More infos","Leather","Pink","20 cm","24 cm","11 cm","Italy","Angelo","","26/06/2020","10860099"
"June 30, 2020",1,"Bvlgari","Serpenti","1493,19 €","Never worn  More infos","Leather","Beige","27 cm","19 cm",NA,"Switzerland","Lucie","","30/06/2020","10911873"
"April 5, 2020",75,"Bvlgari","Serpenti","965 €","Never worn  More infos","Leather","Black","26 cm","17 cm","10 cm","France","louis","Dustbag ,Original box","11/03/2020","9631798"
"April 29, 2020",232,"Bvlgari","Serpenti","850 €","Good condition  More infos","Leather","Green","30 cm","23 cm","12 cm","Bulgaria","valentina","","23/04/2020","10078100"
"July 14, 2020",49,"Bvlgari","Serpenti","1540,67 €","Very good condition  More infos","Leather","Green","19 cm","13 cm","7 cm","Singapore","Yulia","Dustbag","18/06/2020","10768716"
"June 27, 2020",8,"Bvlgari","Serpenti","977,87 €","Very good condition  More infos","Leather","Gold","20 cm","15.5 cm","3 cm","Hong Kong","L","","26/06/2020","10875071"
"July 29, 2020",29,"Bvlgari","Serpenti","1223,71 €","Never worn  More infos","Patent leather","Metallic","38.1 cm","45.7 cm","24.1 cm","United States","andrea","","24/06/2020","10843823"
"June 26, 2020",44,"Bvlgari","Serpenti","750 €","Very good condition  More infos","Patent leather","Silver","19 cm","12 cm","5 cm","France","valentine","Dustbag","17/06/2020","10753487"
"June 15, 2020",35,"Bvlgari","Serpenti","825 €","Very good condition  More infos","Leather","Ecru","19 cm","17 cm","10 cm","Italy","Angelo","","14/06/2020","10701987"
"June 10, 2020",4,"Bvlgari","Serpenti","818,48 €","Never worn  More infos","Exotic leathers",NA,"27 cm","18 cm","6 cm","France","nicolas","","10/06/2020","10660959"
"June 19, 2020",25,"Bvlgari","Serpenti","549,09 €","Good condition  More infos","Leather","Green","20 cm","14 cm","4,5 cm","Germany","geraldine","","14/06/2020","10710617"
"July 25, 2020",26,"Bvlgari","Serpenti","1790 €","Very good condition  More infos","Leather","Black","16 cm","19 cm","11 cm","Germany","lcii","","05/06/2020","10604569"
"July 4, 2020",55,"Bvlgari","Serpenti","850 €","Very good condition  More infos","Leather","Green","15 cm","20 cm","3,5 cm","France","Ines","","26/05/2020","10482076"
"July 23, 2020",1,"Bvlgari",NA,"199 €","Good condition  More infos","Leather","Grey","40 cm","25 cm","10 cm","Italy","simona","Dustbag","23/07/2020","11182238"
"June 1, 2020",4,"Bvlgari","Serpenti","1127,50 €","Very good condition  More infos","Leather","Green","28 cm","19 cm","7.5 cm","Hong Kong","rachel","Dustbag","23/05/2020","10450896"
"March 6, 2020",61,"Bvlgari","Serpenti","1068,21 €","Very good condition  More infos","Leather","Pink","7 cm","15 cm","24 cm","United Kingdom","Firstfind","","29/01/2020","9298435"
"May 24, 2020",34,"Bvlgari","Serpenti","658,06 €","Never worn  More infos","Leather","Blue","20 cm","16 cm","4.5 cm","United Kingdom","olivia","","19/05/2020","10319093"
"June 11, 2020",30,"Bvlgari","Serpenti","520 €","Fair condition  More infos","Leather","Black","22.1 cm","14 cm","3.8 cm","Ireland","emer","Dustbag","08/06/2020","10630696"
"June 10, 2020",7,"Bvlgari","Serpenti","1792,29 €","Never worn  More infos","Patent leather","Blue","28 cm","19 cm","7.5 cm","Germany","peter","","08/06/2020","10638344"
"June 29, 2020",54,"Bvlgari","Serpenti","493,32 €","Good condition  More infos","Leather","Pink","13 cm","20.1 cm","3.6 cm","United States","jinjing","","07/06/2020","10622993"
"May 25, 2020",17,"Bvlgari","Serpenti","1000 €","Very good condition  More infos","Leather","Beige","18 cm","24 cm","9,5 cm","France","lou","","20/05/2020","10426163"
"April 5, 2020",28,"Bvlgari","Serpenti","956,05 €","Very good condition  More infos","Leather","Yellow","17.8 cm","15.2 cm","6.4 cm","Hong Kong","aug","","25/03/2020","9788524"
"May 14, 2020",12,"Bvlgari","Serpenti","890 €","Never worn, with tag  More infos","Glitter","Silver","22 cm","14 cm","7 cm","France","giorgia","","13/05/2020","10231690"
"April 29, 2020",15,"Bvlgari","Serpenti","1549,22 €","Very good condition  More infos","Leather","Green","19 cm","28 cm","7 cm","Switzerland","ladivia","","28/04/2020","10126812"
"May 26, 2020",29,"Bvlgari","Serpenti","1034,02 €","Very good condition  More infos","Leather","Purple","16 cm","18 cm","9.5 cm","Australia","Lu","Dustbag","17/05/2020","10370740"
"July 26, 2020",19,"Bvlgari","Bulgari","1000 €","Never worn  More infos","Leather","Orange","20 cm","15 cm","4 cm","France","Muriel","","08/07/2020","10993387"
"June 10, 2020",32,"Bvlgari","Serpenti","850 €","Never worn  More infos","Leather","Gold","14 cm","20 cm","2,5 cm","France","victoria","","21/05/2020","10423947"
"July 10, 2020",5,"Bvlgari",NA,"110 €","Very good condition  More infos","Leather","Black","30 cm","24 cm","9 cm","France","Muriel","","05/07/2020","10968240"
