"","X.59..200.","X.59..200..1","c..85.20..200....69.55..200..","X.86.94..200.","c..99..200....95..200..","X.95.63..200.","X.95.63..200..1","c..104.33..200....95.63..200..","c..113.02..200....95.63..200..","X.99..200.","X.104.33..200.","X.104.33..200..1","X.104.33..200..2","c..113.02..200....104.33..200..","X.104.33..200..3","c..129.54..200....104.33..200..","c..115..200....105..200..","X.113.02..200.","X.113.02..200..1","X.113.02..200..2","X.113.02..200..3","X.113.02..200..4","c..121.71..200....113.02..200..","c..130.41..200....113.02..200..","c..156.49..200....113.02..200..","c..125..200....119..200..","c..125..200....119..200...1","X.121.71..200.","X.121.71..200..1","c..147.79..200....121.71..200..","X.129..200."
"1","59 €","59 €","85,20 €","86,94 €","99 €","95,63 €","95,63 €","104,33 €","113,02 €","99 €","104,33 €","104,33 €","104,33 €","113,02 €","104,33 €","129,54 €","115 €","113,02 €","113,02 €","113,02 €","113,02 €","113,02 €","121,71 €","130,41 €","156,49 €","125 €","125 €","121,71 €","121,71 €","147,79 €","129 €"
"2","59 €","59 €","69,55 €","86,94 €","95 €","95,63 €","95,63 €","95,63 €","95,63 €","99 €","104,33 €","104,33 €","104,33 €","104,33 €","104,33 €","104,33 €","105 €","113,02 €","113,02 €","113,02 €","113,02 €","113,02 €","113,02 €","113,02 €","113,02 €","119 €","119 €","121,71 €","121,71 €","121,71 €","129 €"
